# 逐字稿 - moneyline_20260227_part1
# 來源網址: https://www.youtube.com/watch?v=eILpZ7DIAUg
# 轉換日期: 2026-02-27 20:29:03
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:19.420]  歡迎收看前線百分百個表晚安 我是劉柱華
[00:12:24.200 --> 00:12:27.200]  未來有五千億美元的一個訂單
[00:12:27.200 --> 00:12:29.200]  它沒有講這個長官的道理
[00:12:29.200 --> 00:12:30.200]  細節是什麼
[00:12:30.200 --> 00:12:31.200]  沒有講
[00:12:31.200 --> 00:12:32.200]  這個大家都
[00:12:32.200 --> 00:12:33.200]  就開始
[00:12:33.200 --> 00:12:35.200]  你到底是這裡面包了什麼
[00:12:35.200 --> 00:12:36.200]  未來計畫什麼
[00:12:36.200 --> 00:12:37.200]  什麼時候可以
[00:12:37.200 --> 00:12:38.200]  實現都沒有講
[00:12:38.200 --> 00:12:39.200]  可是沒有講
[00:12:39.200 --> 00:12:40.200]  不代表不好
[00:12:40.200 --> 00:12:41.200]  因為它覺得
[00:12:41.200 --> 00:12:42.200]  有更多更重要的東西要講
[00:12:42.200 --> 00:12:44.200]  大家既然你一條股頭
[00:12:44.200 --> 00:12:46.200]  而且三月份有GDC大會
[00:12:46.200 --> 00:12:48.200]  你到時候它都會講
[00:12:48.200 --> 00:12:49.200]  對嘛
[00:12:49.200 --> 00:12:50.200]  所以我覺得
[00:12:50.200 --> 00:12:51.200]  就是這樣
[00:12:51.200 --> 00:12:52.200]  股價翻黑
[00:12:52.200 --> 00:12:53.200]  另外一個
[00:12:53.200 --> 00:12:55.200]  第一季的財策
[00:12:55.200 --> 00:12:56.200]  我就說既然
[00:12:56.200 --> 00:12:57.200]  考一百分的學生
[00:12:57.200 --> 00:12:58.200]  考了98分
[00:12:58.200 --> 00:12:59.200]  你都不滿意
[00:12:59.200 --> 00:13:00.200]  他財策有高低
[00:13:00.200 --> 00:13:01.200]  是平均
[00:13:01.200 --> 00:13:01.200]  那個數字看
[00:13:01.200 --> 00:13:02.200]  七百多億是平均
[00:13:02.200 --> 00:13:04.200]  我們回到第一季的財策
[00:13:04.200 --> 00:13:06.200]  這個是平均數字嘛
[00:13:06.200 --> 00:13:07.200]  然後這一次
[00:13:07.200 --> 00:13:08.200]  差不多是七百八
[00:13:08.200 --> 00:13:09.200]  七百八比平均高很多嘛
[00:13:09.200 --> 00:13:11.200]  它是有高標跟低標
[00:13:11.200 --> 00:13:13.200]  高標是八百億美金左右
[00:13:13.200 --> 00:13:14.200]  我就說嘛
[00:13:14.200 --> 00:13:16.200]  你考一百分的學生
[00:13:16.200 --> 00:13:17.200]  考個98、98、99
[00:13:17.200 --> 00:13:18.200]  你就想要挑股頭
[00:13:18.200 --> 00:13:19.200]  甚至
[00:13:19.200 --> 00:13:20.200]  原本
[00:13:20.200 --> 00:13:21.200]  我也考一百分
[00:13:21.200 --> 00:13:22.200]  你想要他102分
[00:13:22.200 --> 00:13:25.200]  對
[00:13:25.200 --> 00:13:26.200]  他顯得太好的加分
[00:13:26.200 --> 00:13:27.200]  所以
[00:13:27.200 --> 00:13:28.200]  這個市場上
[00:13:28.200 --> 00:13:29.200]  給予的
[00:13:29.200 --> 00:13:31.200]  太科科的一點
[00:13:31.200 --> 00:13:32.200]  所以股價
[00:13:32.200 --> 00:13:34.200]  也因為這個原因點
[00:13:34.200 --> 00:13:35.200]  另外呢
[00:13:35.200 --> 00:13:36.200]  中國業務的不明黨
[00:13:36.200 --> 00:13:37.200]  而且
[00:13:37.200 --> 00:13:38.200]  它的法座裡面講過
[00:13:38.200 --> 00:13:39.200]  中國的競爭對手
[00:13:39.200 --> 00:13:40.200]  正在取得進展
[00:13:40.200 --> 00:13:42.200]  他們也在進步當中
[00:13:42.200 --> 00:13:44.200]  所以會不會未來會有壓力
[00:13:44.200 --> 00:13:46.200]  拿不到中國市場
[00:13:46.200 --> 00:13:47.200]  很龐大的商機
[00:13:47.200 --> 00:13:48.200]  會影響到
[00:13:48.200 --> 00:13:50.200]  會打未來的成長性
[00:13:50.200 --> 00:13:51.200]  最近剛剛這個
[00:13:51.200 --> 00:13:52.200]  資源有提到過
[00:13:52.200 --> 00:13:53.200]  資源上會少一點
[00:13:53.200 --> 00:13:54.200]  AI5美股裡面
[00:13:54.200 --> 00:13:55.200]  基本上
[00:13:55.200 --> 00:13:56.200]  今年都沒什麼動物
[00:13:56.200 --> 00:13:57.200]  沒錯
[00:13:57.200 --> 00:13:58.200]  有沒有盤熱多久
[00:13:58.200 --> 00:13:59.200]  但是這種盤法
[00:13:59.200 --> 00:14:01.200]  你會覺得它轉空嗎
[00:14:01.200 --> 00:14:02.200]  沒有
[00:14:02.200 --> 00:14:02.200]  沒有
[00:14:02.200 --> 00:14:03.200]  而且攻擊的時候
[00:14:03.200 --> 00:14:04.200]  慢慢量而增加
[00:14:04.200 --> 00:14:05.200]  對不對
[00:14:05.200 --> 00:14:06.200]  所以我覺得
[00:14:06.200 --> 00:14:07.200]  就算明天
[00:14:07.200 --> 00:14:08.200]  今天晚上在整理
[00:14:08.200 --> 00:14:09.200]  這趨勢上
[00:14:09.200 --> 00:14:10.200]  應該還是騙多
[00:14:10.200 --> 00:14:11.200]  如果GTG大會
[00:14:11.200 --> 00:14:15.200]  似乎更明確的一個看法
[00:14:15.200 --> 00:14:17.200]  股價是不是就上去
[00:14:17.200 --> 00:14:18.200]  對它也要留一點東西
[00:14:18.200 --> 00:14:19.200]  留一點彩蛋
[00:14:19.200 --> 00:14:20.200]  留在3月的GTG
[00:14:20.200 --> 00:14:21.200]  要不然
[00:14:21.200 --> 00:14:22.200]  現在都過不了3月怎麼辦
[00:14:22.200 --> 00:14:23.200]  這是法座焦點
[00:14:23.200 --> 00:14:24.200]  是在我的彩爆
[00:14:24.200 --> 00:14:25.200]  我的彩色
[00:14:25.200 --> 00:14:26.200]  我來面臨到的問題
[00:14:26.200 --> 00:14:27.200]  就這樣而已
[00:14:27.200 --> 00:14:28.200]  你們想太多
[00:14:28.200 --> 00:14:29.200]  技術面的問題
[00:14:29.200 --> 00:14:30.200]  是在後面
[00:14:30.200 --> 00:14:31.200]  那如果你說
[00:14:31.200 --> 00:14:33.200]  這是雞蛋領條股頭
[00:14:33.200 --> 00:14:34.200]  下個禮拜一
[00:14:34.200 --> 00:14:36.200]  先不預告一下
[00:14:36.200 --> 00:14:37.200]  相關的AI概念股
[00:14:37.200 --> 00:14:39.200]  尤其記憶體做不出來
[00:14:39.200 --> 00:14:40.200]  似乎其實也會說到影響
[00:14:40.200 --> 00:14:42.200]  那接下來似乎起似乎是禍
[00:14:42.200 --> 00:14:45.200]  我想目前看起來
[00:14:45.200 --> 00:14:46.200]  這個雖然定滿了
[00:14:46.200 --> 00:14:48.200]  但沒有想想想說
[00:14:48.200 --> 00:14:49.200]  那麼嚴重
[00:14:49.200 --> 00:14:50.200]  因為擔心缺貨
[00:14:50.200 --> 00:14:51.200]  不代表
[00:14:51.200 --> 00:14:52.200]  拿不到貨
[00:14:52.200 --> 00:14:54.200]  這個重點在這裡
[00:14:54.200 --> 00:14:55.200]  我想給大家看
[00:14:55.200 --> 00:14:57.200]  AI似乎起了指標股
[00:14:57.200 --> 00:14:58.200]  其實前一天
[00:14:58.200 --> 00:15:00.200]  昨天有沒有全部到大漲
[00:15:00.200 --> 00:15:02.200]  大家期待會打了彩爆不錯
[00:15:02.200 --> 00:15:03.200]  而且升級很久了
[00:15:03.200 --> 00:15:05.200]  我想包括了組裝
[00:15:05.200 --> 00:15:07.200]  包括銅箔機板
[00:15:07.200 --> 00:15:08.200]  再看一下一頁
[00:15:08.200 --> 00:15:09.200]  我給大家看一個
[00:15:09.200 --> 00:15:10.200]  兩頁裡面
[00:15:10.200 --> 00:15:11.200]  包括了散熱
[00:15:11.200 --> 00:15:13.200]  PCB機殼
[00:15:13.200 --> 00:15:14.200]  這次收盤架
[00:15:14.200 --> 00:15:16.200]  法人估計的那一PS
[00:15:16.200 --> 00:15:17.200]  本一筆
[00:15:17.200 --> 00:15:18.200]  最近法人的買賣
[00:15:18.200 --> 00:15:20.200]  這已經五個交易日的買賣
[00:15:20.200 --> 00:15:21.200]  回到第一頁
[00:15:21.200 --> 00:15:22.200]  我們先給大家看
[00:15:22.200 --> 00:15:24.200]  一筆更低AI老AI
[00:15:24.200 --> 00:15:25.200]  這是組裝的
[00:15:25.200 --> 00:15:26.200]  本一筆都很低
[00:15:26.200 --> 00:15:27.200]  好啦
[00:15:27.200 --> 00:15:28.200]  銅箔機板
[00:15:28.200 --> 00:15:30.200]  因為台光電 台藥跟聯帽
[00:15:30.200 --> 00:15:32.200]  台光電已經拉到39倍了
[00:15:32.200 --> 00:15:34.200]  它台藥25倍
[00:15:34.200 --> 00:15:35.200]  好 你想一下
[00:15:35.200 --> 00:15:36.200]  這些股價
[00:15:36.200 --> 00:15:38.200]  有多空兌製抽碼
[00:15:38.200 --> 00:15:40.200]  然後外資都在買這些
[00:15:40.200 --> 00:15:41.200]  組裝的個股
[00:15:41.200 --> 00:15:42.200]  好啦
[00:15:42.200 --> 00:15:44.200]  我到認為
[00:15:44.200 --> 00:15:45.200]  這四檔股票
[00:15:45.200 --> 00:15:47.200]  應該是焦點這麼焦點
[00:15:47.200 --> 00:15:49.200]  為什麼這樣講
[00:15:49.200 --> 00:15:50.200]  它有沒有先回過
[00:15:50.200 --> 00:15:51.200]  它增離一個很久
[00:15:51.200 --> 00:15:53.200]  去年幾乎
[00:15:53.200 --> 00:15:54.200]  你看相較於台積電
[00:15:54.200 --> 00:15:56.200]  對 股價都從高漲跌下來
[00:15:56.200 --> 00:15:57.200]  第一個
[00:15:57.200 --> 00:15:59.200]  機器都比較低
[00:15:59.200 --> 00:16:01.200]  雖然今天也都震盪
[00:16:01.200 --> 00:16:02.200]  不過底型都出來了
[00:16:02.200 --> 00:16:05.200]  唯一跟偉創都已經公布了去年的貨幣
[00:16:05.200 --> 00:16:07.200]  當然未來配多少
[00:16:07.200 --> 00:16:09.200]  紅海廣大也會
[00:16:09.200 --> 00:16:12.200]  陸續公布去年才報配多少
[00:16:12.200 --> 00:16:14.200]  董事會行行有沒有講過
[00:16:14.200 --> 00:16:16.200]  他們的股力各方面
[00:16:16.200 --> 00:16:17.200]  股價沒有很高價
[00:16:17.200 --> 00:16:18.200]  加了配很多
[00:16:18.200 --> 00:16:20.200]  就會吸引到一些法人買完
[00:16:20.200 --> 00:16:21.200]  北米都很低
[00:16:21.200 --> 00:16:24.200]  所以最近為什麼外資會買這些股票
[00:16:24.200 --> 00:16:25.200]  來 我先問紅海
[00:16:25.200 --> 00:16:27.200]  因為紅海昨天長六趴
[00:16:27.200 --> 00:16:28.200]  是老AI當中
[00:16:28.200 --> 00:16:30.200]  在昨天長服最難的
[00:16:30.200 --> 00:16:32.200]  過了景線
[00:16:32.200 --> 00:16:34.200]  今天還有試圖要往上
[00:16:34.200 --> 00:16:36.200]  紅海要啟工了嗎
[00:16:36.200 --> 00:16:38.200]  這二六五的錢高
[00:16:38.200 --> 00:16:39.200]  壓力大不大
[00:16:39.200 --> 00:16:41.200]  我覺得有點要啟風了
[00:16:41.200 --> 00:16:43.200]  第一個這個量
[00:16:43.200 --> 00:16:45.200]  好久以來的大量
[00:16:45.200 --> 00:16:46.200]  昨天攻擊了
[00:16:46.200 --> 00:16:48.200]  很像要啟風了
[00:16:48.200 --> 00:16:50.200]  對 然後這個叫景線位置點
[00:16:50.200 --> 00:16:52.200]  今天也守住了
[00:16:52.200 --> 00:16:53.200]  好 再來看一下
[00:16:53.200 --> 00:16:54.200]  放大一點
[00:16:54.200 --> 00:16:55.200]  我們看昨天這個紅可以放
[00:16:55.200 --> 00:16:57.200]  這邊紅可以放一半
[00:16:57.200 --> 00:16:58.200]  今天連碰都被碰到
[00:16:58.200 --> 00:17:00.200]  代表我是一個強者
[00:17:00.200 --> 00:17:01.200]  雖然開高走低
[00:17:01.200 --> 00:17:02.200]  在量有縮
[00:17:02.200 --> 00:17:03.200]  所以基本上來看的話
[00:17:03.200 --> 00:17:05.200]  只要景線不吃手
[00:17:05.200 --> 00:17:07.200]  三月份應該有戲
[00:17:07.200 --> 00:17:09.200]  可以看到這邊的壓力一點在這裡
[00:17:09.200 --> 00:17:11.200]  能不能去過關
[00:17:11.200 --> 00:17:14.200]  當然我們觀察後面的量能
[00:17:14.200 --> 00:17:16.200]  尤其底下放個外移資好不好
[00:17:16.200 --> 00:17:18.200]  這個外移資我們放大一點
[00:17:18.200 --> 00:17:20.200]  我過去有提到過
[00:17:20.200 --> 00:17:22.200]  紅海就是外移資
[00:17:22.200 --> 00:17:23.200]  一直買股價就一直漲
[00:17:23.200 --> 00:17:25.200]  後來開始賣
[00:17:25.200 --> 00:17:26.200]  我說開始賣的時候
[00:17:26.200 --> 00:17:28.200]  你要小心這一段
[00:17:28.200 --> 00:17:29.200]  都有買賣
[00:17:29.200 --> 00:17:30.200]  大部分都賣嘛
[00:17:30.200 --> 00:17:32.200]  最近我們看看連續連續的買
[00:17:32.200 --> 00:17:34.200]  你看到了
[00:17:34.200 --> 00:17:36.200]  連續只要連續的買
[00:17:36.200 --> 00:17:38.200]  基本上或者是賣一天
[00:17:38.200 --> 00:17:39.200]  會有開始賺買
[00:17:39.200 --> 00:17:40.200]  沒有關係
[00:17:40.200 --> 00:17:44.200]  連發科今天盤中一度到1975
[00:17:44.200 --> 00:17:45.200]  來看到台積電
[00:17:45.200 --> 00:17:46.200]  台積電拉回來
[00:17:46.200 --> 00:17:48.200]  台積電在今天的修盤
[00:17:48.200 --> 00:17:51.200]  價是1995差距在高
[00:17:51.200 --> 00:17:53.200]  你覺得接下來一樣空手
[00:17:53.200 --> 00:17:56.200]  騎跑點其實差不多你會持有
[00:17:56.200 --> 00:17:58.200]  台積電還是持有連發科
[00:17:58.200 --> 00:18:00.200]  我想這兩檔其實基本上
[00:18:00.200 --> 00:18:02.200]  五日線沒有破都可以留著
[00:18:02.200 --> 00:18:03.200]  因為這一段時間
[00:18:03.200 --> 00:18:05.200]  強勢的過程當中都很強
[00:18:05.200 --> 00:18:07.200]  但你問我要留誰
[00:18:07.200 --> 00:18:08.200]  要留誰
[00:18:08.200 --> 00:18:11.200]  其實三月份都可以留
[00:18:11.200 --> 00:18:12.200]  四月份我就不想留
[00:18:12.200 --> 00:18:13.200]  好 第二頁的部分
[00:18:13.200 --> 00:18:14.200]  焦點你會放在誰身上
[00:18:14.200 --> 00:18:16.200]  好 我想這邊散熱裡面
[00:18:16.200 --> 00:18:18.200]  你看到了副市長今天長廳
[00:18:18.200 --> 00:18:20.200]  三十倍本一筆
[00:18:20.200 --> 00:18:22.200]  然後七孟雙紅都還比較低一點
[00:18:22.200 --> 00:18:24.200]  或許這篇應該有機會補上
[00:18:24.200 --> 00:18:25.200]  但是不最高
[00:18:25.200 --> 00:18:26.200]  因為他們其實未接點
[00:18:26.200 --> 00:18:27.200]  都在歷史高點
[00:18:27.200 --> 00:18:29.200]  所以風險比較大
[00:18:29.200 --> 00:18:30.200]  他是有沒有看到
[00:18:30.200 --> 00:18:32.200]  秦辰銀邦
[00:18:32.200 --> 00:18:35.200]  這兩個本一筆都在25倍以上
[00:18:35.200 --> 00:18:36.200]  是機殼的廠商
[00:18:36.200 --> 00:18:39.200]  當然最近秦辰被外資投信在賣
[00:18:39.200 --> 00:18:41.200]  籌碼不價不好
[00:18:41.200 --> 00:18:43.200]  結果換銀邦在長
[00:18:43.200 --> 00:18:45.200]  因為本一筆還不到20倍
[00:18:45.200 --> 00:18:46.200]  你看一下銀邦
[00:18:46.200 --> 00:18:48.200]  為什麼人家今天會長廳板
[00:18:48.200 --> 00:18:49.200]  就是這樣
[00:18:49.200 --> 00:18:50.200]  最近比較像
[00:18:50.200 --> 00:18:52.200]  但是他很慣
[00:18:52.200 --> 00:18:53.200]  極長之後就休息
[00:18:53.200 --> 00:18:54.200]  極長之後就休息
[00:18:54.200 --> 00:18:55.200]  我的慣心都這樣子
[00:18:55.200 --> 00:18:57.200]  極長之後就停
[00:18:57.200 --> 00:18:58.200]  對 極長之後就停
[00:18:58.200 --> 00:18:59.200]  所以下禮拜可能先停看廳嗎
[00:18:59.200 --> 00:19:00.200]  對 先停看
[00:19:00.200 --> 00:19:02.200]  而且今天有沒有一個叫調了一些
[00:19:02.200 --> 00:19:04.200]  就告訴你可能要整理了
[00:19:04.200 --> 00:19:06.200]  等他回來再說
[00:19:06.200 --> 00:19:08.200]  有兩個多方的缺口
[00:19:08.200 --> 00:19:10.200]  在網上工一定會有人賣
[00:19:10.200 --> 00:19:11.200]  但是他每一筆低
[00:19:11.200 --> 00:19:13.200]  回來之後再留意一下
[00:19:13.200 --> 00:19:14.200]  OK 非常清楚
[00:19:14.200 --> 00:19:15.200]  謝建老師請先回座了
[00:19:15.200 --> 00:19:17.200]  第一個跟大家解讀的是
[00:19:17.200 --> 00:19:18.200]  灰打的財報
[00:19:18.200 --> 00:19:20.200]  為什麼市場在昨天
[00:19:20.200 --> 00:19:22.200]  盤後出現了開高走低
[00:19:22.200 --> 00:19:23.200]  這人大哥覺得大家要求真的
[00:19:23.200 --> 00:19:24.200]  太高了
[00:19:24.200 --> 00:19:25.200]  但是在接下來
[00:19:25.200 --> 00:19:26.200]  這些還是大有可謂
[00:19:26.200 --> 00:19:28.200]  聽給你做參考了
[00:19:28.200 --> 00:19:29.200]  好 當然3月
[00:19:29.200 --> 00:19:30.200]  明知說
[00:19:30.200 --> 00:19:31.200]  元宵變盤現在看起來
[00:19:31.200 --> 00:19:33.200]  還沒有立即的危機
[00:19:33.200 --> 00:19:35.200]  但是3月底到4月初
[00:19:35.200 --> 00:19:37.200]  大家可能就要小心點
[00:19:37.200 --> 00:19:38.200]  所以3月還有空間
[00:19:38.200 --> 00:19:39.200]  做什麼呢
[00:19:39.200 --> 00:19:41.200]  休息一下 稍後告訴你
[00:19:41.200 --> 00:19:42.200]  3月還有行情
[00:19:42.200 --> 00:19:43.200]  所以要做什麼呢
[00:19:43.200 --> 00:19:44.200]  明知說
[00:19:44.200 --> 00:19:46.200]  用行事立交易法
[00:19:46.200 --> 00:19:48.200]  來3月財報跟營收
[00:19:48.200 --> 00:19:49.200]  壓一把
[00:19:49.200 --> 00:19:50.200]  不過說到了營收
[00:19:50.200 --> 00:19:51.200]  通常2月的營收
[00:19:51.200 --> 00:19:53.200]  都是很多企業度少月的時候
[00:19:53.200 --> 00:19:55.200]  第一個在時間中
[00:19:55.200 --> 00:19:56.200]  工作廳術上
[00:19:56.200 --> 00:19:57.200]  工作廳術最短
[00:19:57.200 --> 00:19:58.200]  然後又碰到了過年
[00:19:58.200 --> 00:19:59.200]  沒錯
[00:19:59.200 --> 00:20:00.200]  所以真的營收
[00:20:00.200 --> 00:20:01.200]  能夠表現好的
[00:20:01.200 --> 00:20:02.200]  那真了不起了
[00:20:02.200 --> 00:20:03.200]  來 怎麼樣解釋營收
[00:20:03.200 --> 00:20:05.200]  好 首先其實我們可以先來談一下
[00:20:05.200 --> 00:20:07.200]  這個3月份兩個操作主軸
[00:20:07.200 --> 00:20:08.200]  一個是營收一個
[00:20:08.200 --> 00:20:10.200]  是年報的一個部分
[00:20:10.200 --> 00:20:12.200]  那我們現在談一下在年報
[00:20:12.200 --> 00:20:13.200]  第四季的一個財報
[00:20:13.200 --> 00:20:15.200]  到底要怎麼樣去做
[00:20:15.200 --> 00:20:17.200]  不能說賭一把
[00:20:17.200 --> 00:20:18.200]  就是如果
[00:20:18.200 --> 00:20:21.200]  如果你是單純
[00:20:21.200 --> 00:20:22.200]  就是猜的話
[00:20:22.200 --> 00:20:23.200]  那當然那個就是
[00:20:23.200 --> 00:20:25.200]  有點堵住的成分在裡面
[00:20:25.200 --> 00:20:27.200]  但如果你有加入一些條件
[00:20:27.200 --> 00:20:28.200]  策略的話
[00:20:28.200 --> 00:20:29.200]  因為如果你加入一些條件的話
[00:20:29.200 --> 00:20:31.200]  其實就是一種策略的一個操作
[00:20:31.200 --> 00:20:33.200]  好 這一首先我們先來看一下
[00:20:33.200 --> 00:20:34.200]  你要怎麼樣知道
[00:20:34.200 --> 00:20:36.200]  公司的財報什麼時候開
[00:20:36.200 --> 00:20:38.200]  我想我們之前在百分百當中
[00:20:38.200 --> 00:20:39.200]  也跟大家談過
[00:20:39.200 --> 00:20:42.200]  這個應該是前年的第一季開始
[00:20:42.200 --> 00:20:44.200]  就是主管機關要求
[00:20:44.200 --> 00:20:47.200]  就是希望能夠公司能夠更透明
[00:20:47.200 --> 00:20:49.200]  所以各家公司在
[00:20:49.200 --> 00:20:52.200]  要開那個財報通過的董事會的時候
[00:20:52.200 --> 00:20:54.200]  你要再公開這訊戰
[00:20:54.200 --> 00:20:57.200]  上面去公告說哪一天要開董事會
[00:20:57.200 --> 00:20:58.200]  通常開完董事會
[00:20:58.200 --> 00:20:59.200]  就立刻公告
[00:20:59.200 --> 00:21:01.200]  要不然就不用把董事就開開會了
[00:21:01.200 --> 00:21:03.200]  所以這個地方我們要先知道說
[00:21:03.200 --> 00:21:05.200]  你要怎麼樣去查那個公司
[00:21:05.200 --> 00:21:06.200]  財報什麼時候開
[00:21:06.200 --> 00:21:07.200]  好 那大家畫面當中看到
[00:21:07.200 --> 00:21:09.200]  這個是公告快異場
[00:21:09.200 --> 00:21:11.200]  基本上如果你是要看
[00:21:11.200 --> 00:21:13.200]  整個市場的你就打
[00:21:13.200 --> 00:21:15.200]  其實你要看單一個股
[00:21:15.200 --> 00:21:16.200]  或整個市場都可以
[00:21:16.200 --> 00:21:18.200]  那他的公告項目就打M3E
[00:21:18.200 --> 00:21:20.200]  不是那個個股的M3E
[00:21:20.200 --> 00:21:21.200]  不是個股的M3E
[00:21:21.200 --> 00:21:22.200]  那你打出來之後
[00:21:22.200 --> 00:21:23.200]  你就會看到比如說你看
[00:21:23.200 --> 00:21:25.200]  這個地方是合任企業
[00:21:25.200 --> 00:21:27.200]  他說公告本公司
[00:21:27.200 --> 00:21:29.200]  2025年度的財報
[00:21:29.200 --> 00:21:30.200]  預計是其實3月5號
[00:21:30.200 --> 00:21:32.200]  然後下面這個是身風
[00:21:32.200 --> 00:21:34.200]  他也是3月5號
[00:21:34.200 --> 00:21:35.200]  那大家就可以挑你
[00:21:35.200 --> 00:21:37.200]  有興趣的股票來看
[00:21:37.200 --> 00:21:38.200]  但我剛剛講的嘛
[00:21:38.200 --> 00:21:40.200]  如果你知道什麼時候開
[00:21:40.200 --> 00:21:41.200]  然後你就去壓的話
[00:21:41.200 --> 00:21:42.200]  那叫做度
[00:21:42.200 --> 00:21:44.200]  但是如果你加入條件的話
[00:21:44.200 --> 00:21:45.200]  就是策略 加入什麼條件
[00:21:45.200 --> 00:21:46.200]  對 所以你要怎麼樣
[00:21:46.200 --> 00:21:47.200]  加入條件呢
[00:21:47.200 --> 00:21:48.200]  我們先來看一下
[00:21:48.200 --> 00:21:50.200]  那第一個我們既然要做的是財報股
[00:21:50.200 --> 00:21:51.200]  我們當然希望說
[00:21:51.200 --> 00:21:54.200]  他財報整體表現的數字是好的
[00:21:54.200 --> 00:21:56.200]  那你說我怎麼知道數字好不好
[00:21:56.200 --> 00:21:58.200]  至少營收開出來呢
[00:21:58.200 --> 00:22:00.200]  我們先從營收角度做切入
[00:22:00.200 --> 00:22:02.200]  如果我的營收式既征
[00:22:02.200 --> 00:22:03.200]  就相較於去年的第三季
[00:22:03.200 --> 00:22:04.200]  我是成長
[00:22:04.200 --> 00:22:07.200]  那相較於2024年的第四季
[00:22:07.200 --> 00:22:08.200]  叫做年征
[00:22:08.200 --> 00:22:09.200]  他都是正數的話
[00:22:09.200 --> 00:22:11.200]  那第一個代表我的營收整體表現
[00:22:11.200 --> 00:22:12.200]  是不差的
[00:22:12.200 --> 00:22:13.200]  那第二個重點是什麼呢
[00:22:13.200 --> 00:22:15.200]  我們會挑毛利率相對來講
[00:22:15.200 --> 00:22:16.200]  比較高的
[00:22:16.200 --> 00:22:18.200]  毛利率我們會挑3%以上
[00:22:18.200 --> 00:22:19.200]  為什麼 因為大家知道說
[00:22:19.200 --> 00:22:21.200]  其實影響 EPS 因素有很多
[00:22:21.200 --> 00:22:23.200]  所以我們要進可能挑毛利高的
[00:22:23.200 --> 00:22:26.200]  他可以降低影響 EPS 變速
[00:22:26.200 --> 00:22:28.200]  不然你一不小心就被吃掉了
[00:22:28.200 --> 00:22:29.200]  對 譬如說會
[00:22:29.200 --> 00:22:31.200]  當然第四季才台幣沒有大幅度升值
[00:22:31.200 --> 00:22:34.200]  那如果說譬如說你要台幣大幅度升值
[00:22:34.200 --> 00:22:35.200]  你可能會有會損
[00:22:35.200 --> 00:22:37.200]  或者是原料成本大幅度上漲
[00:22:37.200 --> 00:22:39.200]  他都有可能造成的 EPS不如預計
[00:22:39.200 --> 00:22:40.200]  我覺得這個很關鍵
[00:22:40.200 --> 00:22:42.200]  因為30%其實這個要求
[00:22:42.200 --> 00:22:43.200]  其實不低
[00:22:43.200 --> 00:22:44.200]  所以你可以篩選掉很多
[00:22:44.200 --> 00:22:45.200]  篩選掉很多股票
[00:22:45.200 --> 00:22:47.200]  為什麼要這樣子做呢
[00:22:47.200 --> 00:22:50.200]  因為有下個禮拜共有三百七七家
[00:22:50.200 --> 00:22:51.200]  如果不這樣子做的話
[00:22:51.200 --> 00:22:52.200]  你股票會跳出一大堆
[00:22:52.200 --> 00:22:53.200]  對
[00:22:53.200 --> 00:22:54.200]  那第三個是什麼
[00:22:54.200 --> 00:22:55.200]  第三個就是去年前三季的 EPS
[00:22:55.200 --> 00:22:56.200]  你要大於你
[00:22:56.200 --> 00:22:59.200]  就是我排除體制不加的股票
[00:22:59.200 --> 00:23:00.200]  建議大家講說虧錢他不做
[00:23:00.200 --> 00:23:02.200]  所以我們就把它虧錢都排除掉
[00:23:02.200 --> 00:23:04.200]  那第四個什麼呢
[00:23:04.200 --> 00:23:06.200]  就是排除掉法說會
[00:23:06.200 --> 00:23:08.200]  或者是字節已經公告的公司
[00:23:08.200 --> 00:23:09.200]  為什麼
[00:23:09.200 --> 00:23:11.200]  因為我們剛剛講
[00:23:11.200 --> 00:23:12.200]  我們預期他財報好
[00:23:12.200 --> 00:23:14.200]  市場會正向反應
[00:23:14.200 --> 00:23:16.200]  但是我如果之前在1月份
[00:23:16.200 --> 00:23:18.200]  2月份我已經開過法說會
[00:23:18.200 --> 00:23:19.200]  我已經告訴你
[00:23:19.200 --> 00:23:20.200]  我第四季賺多少錢
[00:23:20.200 --> 00:23:21.200]  那你知道他有驚喜嗎
[00:23:21.200 --> 00:23:22.200]  沒有
[00:23:22.200 --> 00:23:25.200]  像台積電的財報也還沒有上傳
[00:23:25.200 --> 00:23:26.200]  但是你知不知道
[00:23:26.200 --> 00:23:27.200]  台積電卻很賺多少錢
[00:23:27.200 --> 00:23:28.200]  知道他就沒有驚喜
[00:23:28.200 --> 00:23:29.200]  所以這個部分
[00:23:29.200 --> 00:23:31.200]  不代表說股價一定不會漲
[00:23:31.200 --> 00:23:34.200]  但是他沒有驚喜帶動的效果
[00:23:34.200 --> 00:23:35.200]  那第五個就是
[00:23:35.200 --> 00:23:36.200]  成交量大於千章以上
[00:23:36.200 --> 00:23:38.200]  就是排除流動性的一個問題
[00:23:38.200 --> 00:23:42.200]  所以基本上這幾個條件列出來之後
[00:23:42.200 --> 00:23:44.200]  我告訴大家可能會覺得會有疑慮
[00:23:44.200 --> 00:23:46.200]  我們先舉一個今天的例子
[00:23:46.200 --> 00:23:49.200]  他是在昨天晚上開開的董事會
[00:23:49.200 --> 00:23:51.200]  通過財報叫做3030的德律
[00:23:51.200 --> 00:23:53.200]  基本上德律就符合
[00:23:53.200 --> 00:23:54.200]  我們剛剛所談到的這些條件
