# 逐字稿 - moneyline_20260227_part2
# 來源網址: https://www.youtube.com/watch?v=er1wzvrgI5I
# 轉換日期: 2026-02-27 20:31:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  台積電會不會被關 跟灰打大有關係
[00:13:11.700 --> 00:13:13.100]  去做一些的轉換
[00:13:13.100 --> 00:13:13.700]  了解了
[00:13:13.700 --> 00:13:15.100]  所以這個故事告訴我們
[00:13:15.100 --> 00:13:17.000]  在AI革命的過程當中
[00:13:17.000 --> 00:13:20.400]  本來還歷史是做記憶體的製造商
[00:13:20.400 --> 00:13:21.900]  現在它搖身一遍
[00:13:21.900 --> 00:13:24.300]  它說我不僅僅是記憶體的製造商
[00:13:24.300 --> 00:13:26.700]  我已經是一個AI基礎建設
[00:13:26.700 --> 00:13:29.500]  要一條龍的全方位廠商了
[00:13:29.500 --> 00:13:29.700]  沒有
[00:13:29.700 --> 00:13:32.300]  所以AI蓋念股記憶體算進去
[00:13:32.300 --> 00:13:34.100]  光通訊算進去
[00:13:34.100 --> 00:13:35.800]  不過先不算進去
[00:13:35.800 --> 00:13:38.000]  這些我先問第一個問題
[00:13:38.000 --> 00:13:38.800]  到處計時
[00:13:38.800 --> 00:13:40.300]  回答財報即將公佈了
[00:13:40.300 --> 00:13:42.100]  他們怎麼跟著回答財報走
[00:13:42.100 --> 00:13:43.100]  其實我覺得
[00:13:43.100 --> 00:13:44.600]  最近的個武上面來講話
[00:13:44.600 --> 00:13:45.700]  像剛剛圖像到
[00:13:45.700 --> 00:13:47.500]  Lumenton或ST的部分
[00:13:47.500 --> 00:13:49.100]  或是整個一個三星
[00:13:49.100 --> 00:13:50.000]  或是海利斯
[00:13:50.000 --> 00:13:53.300]  大概不太會受回答的影響性
[00:13:53.300 --> 00:13:54.900]  那其他的個股可能會
[00:13:54.900 --> 00:13:55.900]  譬如說我們臺灣的
[00:13:55.900 --> 00:13:57.400]  灰打組裝公司
[00:13:57.400 --> 00:13:59.200]  可能就比較會
[00:13:59.200 --> 00:14:01.400]  那為什麼會這樣子講的一個原因呢
[00:14:01.400 --> 00:14:02.800]  就是因為我剛剛有談到
[00:14:02.800 --> 00:14:04.100]  他們很多的領組件
[00:14:04.100 --> 00:14:06.300]  他們的領組件真的很厲害
[00:14:06.300 --> 00:14:08.400]  他們不是只有接回答訂單
[00:14:08.400 --> 00:14:09.700]  你今天就算不是回答
[00:14:09.700 --> 00:14:11.900]  你是AMD請問你要給誰
[00:14:11.900 --> 00:14:12.900]  你不是AMD
[00:14:12.900 --> 00:14:14.400]  請問你是世大伺服機公司
[00:14:14.400 --> 00:14:15.300]  請問你要給誰
[00:14:15.300 --> 00:14:16.400]  其實大部分都給韓國
[00:14:16.400 --> 00:14:18.400]  跟臺灣的領組件公司
[00:14:18.400 --> 00:14:20.600]  那回答財報我幫大家做一個整理
[00:14:20.600 --> 00:14:21.600]  在這裡
[00:14:21.600 --> 00:14:22.900]  這裡是目前
[00:14:22.900 --> 00:14:24.600]  我幫大家去追蹤出來
[00:14:24.600 --> 00:14:25.800]  所有美國當地分析
[00:14:25.800 --> 00:14:27.300]  是預期的低標
[00:14:27.300 --> 00:14:29.400]  跟高標都化在了這裡
[00:14:29.400 --> 00:14:30.500]  你只要記住
[00:14:30.500 --> 00:14:33.300]  本劑就是我們稱之為前一劑
[00:14:33.300 --> 00:14:34.500]  在1.52
[00:14:34.500 --> 00:14:36.700]  1.53美元的一PS
[00:14:36.700 --> 00:14:37.600]  那就是OK
[00:14:37.600 --> 00:14:39.700]  大於1.53就是又預期
[00:14:39.700 --> 00:14:41.800]  營收大於66.1
[00:14:41.800 --> 00:14:42.900]  就是又預期
[00:14:42.900 --> 00:14:44.200]  下一劑的部分
[00:14:44.200 --> 00:14:46.600]  大於1.69就是又預期
[00:14:46.600 --> 00:14:48.600]  大於72.7億美元
[00:14:48.600 --> 00:14:49.500]  就是又預期
[00:14:49.500 --> 00:14:51.700]  目前所有的美國分析師
[00:14:51.700 --> 00:14:53.300]  正常的都是Overweight
[00:14:53.300 --> 00:14:55.200]  就是BySide的部分
[00:14:55.200 --> 00:14:56.200]  那主要的原因就是
[00:14:56.200 --> 00:14:58.100]  AI需求中心跟BlackWare
[00:14:58.100 --> 00:14:59.600]  GPU的一個採用
[00:14:59.600 --> 00:15:01.600]  所以都看的是很正常
[00:15:01.600 --> 00:15:03.000]  可是問題來了
[00:15:03.000 --> 00:15:05.700]  市場上面每一次都會這樣講
[00:15:05.700 --> 00:15:07.500]  提前反應了
[00:15:07.500 --> 00:15:10.000]  財政如果沒有顯著高於這個
[00:15:10.000 --> 00:15:12.500]  高於這個就告訴你說
[00:15:12.500 --> 00:15:14.300]  這個會比較不好
[00:15:14.300 --> 00:15:16.000]  那再加上剛剛我們有談到
[00:15:16.000 --> 00:15:17.100]  對衝基金的放空
[00:15:17.100 --> 00:15:19.100]  它可能會寫一些SaleSide
[00:15:19.100 --> 00:15:20.800]  就賣放報告
[00:15:20.800 --> 00:15:22.000]  這樣可能就會出現
[00:15:22.000 --> 00:15:24.000]  短期的一些的震盪
[00:15:24.000 --> 00:15:25.000]  所以我們剛剛跟大家講了
[00:15:25.000 --> 00:15:26.200]  很多的意思就是說
[00:15:26.200 --> 00:15:27.600]  你今天不管是誰
[00:15:27.600 --> 00:15:28.900]  當五零猛組
[00:15:28.900 --> 00:15:29.900]  但是對台灣
[00:15:29.900 --> 00:15:31.400]  難道台積電會因為
[00:15:31.400 --> 00:15:32.400]  灰打下來
[00:15:32.400 --> 00:15:34.100]  就其他的上去
[00:15:34.100 --> 00:15:35.500]  就不下單給台積電嗎
[00:15:35.500 --> 00:15:36.100]  不可能
[00:15:36.100 --> 00:15:36.800]  所以我們台積
[00:15:36.800 --> 00:15:38.400]  我們台灣裡面的零組件
[00:15:38.400 --> 00:15:40.300]  還是有一定的一個向心力
[00:15:40.300 --> 00:15:41.800]  不過我要先講
[00:15:41.800 --> 00:15:43.900]  台力四跟所謂的三星
[00:15:43.900 --> 00:15:45.400]  持續的營過美光
[00:15:45.400 --> 00:15:47.000]  對我們台灣是有殺傷力的
[00:15:47.000 --> 00:15:48.900]  他們的一個韓國的記憶體
[00:15:48.900 --> 00:15:49.800]  本身有他們自己
[00:15:49.800 --> 00:15:51.500]  本身的供應鏈
[00:15:51.500 --> 00:15:53.200]  它只有少數跟我們台積電
[00:15:53.200 --> 00:15:55.300]  跟少數跟我們台積電有合作
[00:15:55.300 --> 00:15:56.600]  那因為台積電
[00:15:56.600 --> 00:15:58.000]  而有合作的廠商
[00:15:58.000 --> 00:15:59.500]  到底要拿些我們先來看一下
[00:15:59.500 --> 00:16:00.400]  幫大家做一個整理
[00:16:00.400 --> 00:16:01.400]  譬如說
[00:16:01.400 --> 00:16:03.400]  它怎麼做出HBN的
[00:16:03.400 --> 00:16:04.600]  怪也要怪三星
[00:16:04.600 --> 00:16:06.700]  當初就是要跟我們台積電對立
[00:16:06.700 --> 00:16:07.400]  那台積電
[00:16:07.400 --> 00:16:09.400]  就叫海利市去找創意
[00:16:09.400 --> 00:16:10.500]  去做HBN
[00:16:10.500 --> 00:16:12.400]  它就是HBN3
[00:16:12.400 --> 00:16:13.700]  因為現在是市碼
[00:16:13.700 --> 00:16:15.700]  努病的時候我社會HBN4
[00:16:15.700 --> 00:16:17.200]  到3億之前
[00:16:17.200 --> 00:16:18.900]  它就是跟創意去做合作
[00:16:18.900 --> 00:16:19.800]  它解決方案
[00:16:19.800 --> 00:16:20.800]  再來跟什麼
[00:16:20.800 --> 00:16:22.400]  請問目前HBN
[00:16:22.400 --> 00:16:24.000]  封裝方式是用什麼
[00:16:24.000 --> 00:16:25.600]  COVERS的專利
[00:16:25.600 --> 00:16:27.200]  就是在台積電身上
[00:16:27.200 --> 00:16:28.200]  所以在這個部分
[00:16:28.200 --> 00:16:29.600]  我們有獲利預估值
[00:16:29.600 --> 00:16:31.300]  在大家看
[00:16:31.300 --> 00:16:33.700]  你說為什麼要寫到2027
[00:16:33.700 --> 00:16:34.200]  我給你講
[00:16:34.200 --> 00:16:35.700]  現在股價不寫2027
[00:16:35.700 --> 00:16:37.200]  滴杯杯了
[00:16:37.200 --> 00:16:38.600]  台積電也一樣
[00:16:38.600 --> 00:16:40.900]  所有的股票你都買不下去
[00:16:40.900 --> 00:16:43.300]  就像公布藍電三塊
[00:16:43.300 --> 00:16:45.100]  整個一個所謂的星星四塊
[00:16:45.100 --> 00:16:46.200]  為什麼還去去找
[00:16:46.200 --> 00:16:47.600]  就是用2027年的貨幣
[00:16:47.600 --> 00:16:48.300]  我懂你的意思
[00:16:48.300 --> 00:16:49.500]  那另外部分就是
[00:16:49.500 --> 00:16:51.500]  在整個一個COVERS的一個設備
[00:16:51.500 --> 00:16:52.700]  跟PCB的設備
[00:16:52.700 --> 00:16:54.900]  它是專門去做HBN
[00:16:54.900 --> 00:16:56.800]  烘烤製成設備的
[00:16:56.800 --> 00:16:58.900]  那這個就是提供給它的
[00:16:58.900 --> 00:17:00.500]  那這是2467的製生
[00:17:00.500 --> 00:17:01.600]  雲怨份的營收
[00:17:01.600 --> 00:17:03.100]  是大幅的一個成長
[00:17:03.100 --> 00:17:05.100]  那今年大概是10塊錢
[00:17:05.100 --> 00:17:07.500]  明年大概是15塊錢左右
[00:17:07.500 --> 00:17:08.200]  那這個部分
[00:17:08.200 --> 00:17:10.100]  是真的是有跟它去做合作
[00:17:10.100 --> 00:17:11.100]  那另外部分來講
[00:17:11.100 --> 00:17:12.900]  它也打入到什麼
[00:17:12.900 --> 00:17:14.300]  台積電COVERS過去
[00:17:14.300 --> 00:17:16.000]  它沒有台積電COVERS的
[00:17:16.000 --> 00:17:17.100]  一個平台設備
[00:17:17.100 --> 00:17:18.200]  它現在打進去
[00:17:18.200 --> 00:17:19.400]  另外給大家剛剛有談到
[00:17:19.400 --> 00:17:20.300]  ABF宅版
[00:17:20.300 --> 00:17:21.500]  哪一些PCB的設備
[00:17:21.500 --> 00:17:24.000]  尤其在東南亞國家的設備
[00:17:24.000 --> 00:17:25.100]  就是由智慎
[00:17:25.100 --> 00:17:26.900]  它所居做提供的
[00:17:26.900 --> 00:17:28.300]  那另外部分就談到COVERS
[00:17:28.300 --> 00:17:29.800]  我說COVERS的專利權
[00:17:29.800 --> 00:17:31.100]  台積電未來COVERS
[00:17:31.100 --> 00:17:32.700]  尤其是OS的部分
[00:17:32.700 --> 00:17:34.000]  應該會外移
[00:17:34.000 --> 00:17:34.700]  外移給誰
[00:17:34.700 --> 00:17:36.700]  譬如說剛剛談到略光投空
[00:17:36.700 --> 00:17:37.500]  那COVERS的部分
[00:17:37.500 --> 00:17:39.100]  它還是會掌握在手上
[00:17:39.100 --> 00:17:40.200]  所以它就是COVERS的
[00:17:40.200 --> 00:17:41.700]  風裝跟設備上面
[00:17:41.700 --> 00:17:42.500]  配合到
[00:17:42.500 --> 00:17:44.400]  整個海綠式的HBF
[00:17:44.400 --> 00:17:46.300]  真的很多人要問
[00:17:46.300 --> 00:17:47.600]  這邊不敢買了
[00:17:47.600 --> 00:17:49.000]  你眼睛一瞎
[00:17:49.000 --> 00:17:50.200]  它已經到這邊了
[00:17:50.200 --> 00:17:51.800]  現在很多人
[00:17:51.800 --> 00:17:53.100]  想說好
[00:17:53.100 --> 00:17:54.100]  我慘慘
[00:17:54.100 --> 00:17:54.900]  敢背腿
[00:17:54.900 --> 00:17:55.700]  或者是說
[00:17:55.700 --> 00:17:56.700]  進行背脖稿
[00:17:56.700 --> 00:17:57.700]  現在還要加碼
[00:17:57.700 --> 00:17:58.500]  怎麼辦呢
[00:17:58.500 --> 00:18:01.200]  我們必須很持平的告訴大家
[00:18:01.200 --> 00:18:04.100]  因為現在畢竟是2026年初
[00:18:04.100 --> 00:18:05.100]  大家都是用
[00:18:05.100 --> 00:18:07.900]  非常樂觀的方式預估2027年
[00:18:07.900 --> 00:18:08.700]  可是外移
[00:18:08.700 --> 00:18:10.800]  消費性的電子的消貨一地道
[00:18:10.800 --> 00:18:11.600]  初步了來
[00:18:11.600 --> 00:18:12.800]  會影響它嗎
[00:18:12.800 --> 00:18:14.300]  當然會影響
[00:18:14.300 --> 00:18:15.000]  因為你到
[00:18:15.000 --> 00:18:16.100]  如果你消費性的
[00:18:16.100 --> 00:18:17.900]  那個力道初步來
[00:18:17.900 --> 00:18:18.500]  譬如說
[00:18:18.500 --> 00:18:19.800]  AIPC初步來
[00:18:19.800 --> 00:18:21.100]  AI手機初步來
[00:18:21.100 --> 00:18:22.400]  那大家還能夠
[00:18:22.400 --> 00:18:25.200]  那麼大的擴大資本之初嗎
[00:18:25.200 --> 00:18:26.700]  這就是問題
[00:18:26.700 --> 00:18:27.600]  然後另外一個問題
[00:18:27.600 --> 00:18:28.300]  就是來自於說
[00:18:28.300 --> 00:18:29.000]  我剛才談到
[00:18:29.000 --> 00:18:30.300]  OPEN AI
[00:18:30.300 --> 00:18:33.600]  要下大訂單給MVIDIA
[00:18:33.600 --> 00:18:35.600]  請問OPEN AI資金從哪裡來
[00:18:35.600 --> 00:18:38.000]  也是從MVIDIA到OPEN AI
[00:18:38.000 --> 00:18:40.100]  OPEN AI可能再到其他的甲滾
[00:18:40.100 --> 00:18:41.100]  這是一套資金
[00:18:41.100 --> 00:18:42.200]  去做輪轉
[00:18:42.200 --> 00:18:43.300]  所以沒有人告訴你
[00:18:43.300 --> 00:18:44.400]  說一定怎麼樣
[00:18:44.400 --> 00:18:46.900]  但是如果以110塊錢
[00:18:46.900 --> 00:18:48.300]  2027年趁20
[00:18:48.300 --> 00:18:50.300]  它可以到2200
[00:18:50.300 --> 00:18:51.400]  它可以到2200
[00:18:51.400 --> 00:18:53.100]  可是這個中間的問題
[00:18:53.100 --> 00:18:55.000]  是不容一點閃失
[00:18:55.000 --> 00:18:56.300]  那現在不是只有台積電
[00:18:56.300 --> 00:18:59.000]  我說台積電還算是台北股是安全的
[00:18:59.000 --> 00:18:59.600]  我跟你講
[00:18:59.600 --> 00:19:00.600]  現在所有台北股是
[00:19:00.600 --> 00:19:02.700]  都是用2027年的獲利預估值
[00:19:02.700 --> 00:19:04.300]  所以你現在願意買
[00:19:04.300 --> 00:19:05.300]  那你就要記住
[00:19:05.300 --> 00:19:07.500]  高風險一定是高利潤
[00:19:07.500 --> 00:19:08.500]  但是你現在裡面
[00:19:08.500 --> 00:19:10.200]  就要散射你的停力停順點
[00:19:10.200 --> 00:19:12.000]  到了哪裡你不能夠承受
[00:19:12.000 --> 00:19:14.600]  你就要開始有出場的動作
[00:19:14.600 --> 00:19:15.700]  好 這是台積電
[00:19:15.700 --> 00:19:18.100]  來懷孕 懷孕官父小
[00:19:18.100 --> 00:19:20.000]  懷孕 懷孕官就是剛剛來講話
[00:19:20.000 --> 00:19:21.700]  整個一種來賓有談到
[00:19:21.700 --> 00:19:23.400]  叫做淋化陰積板
[00:19:23.400 --> 00:19:25.500]  懷孕是唯一有在加州
[00:19:25.500 --> 00:19:27.900]  設立三五族群淋化陰積板
[00:19:27.900 --> 00:19:29.900]  生化獎唯一有經緣代工廠
[00:19:29.900 --> 00:19:32.100]  半導體專門廠的就是它
[00:19:32.100 --> 00:19:33.400]  CW的部分裡面
[00:19:33.400 --> 00:19:35.500]  它也通過了一個認證
[00:19:35.500 --> 00:19:37.000]  那這個部分裡面來講話
[00:19:37.000 --> 00:19:38.400]  大家可以持續的注意
[00:19:38.400 --> 00:19:40.300]  應該因為它未來裡面的發展性
[00:19:40.300 --> 00:19:42.000]  跟它砍掉了職工師
[00:19:42.000 --> 00:19:43.500]  它去年的賠錢是可以看
[00:19:43.500 --> 00:19:45.600]  那個職工師砍掉職工師之後
[00:19:45.600 --> 00:19:46.800]  它今年跟明年
[00:19:46.800 --> 00:19:48.100]  它的成長幅度很大
[00:19:48.100 --> 00:19:49.600]  我們來看一下今天三百二十塊
[00:19:49.600 --> 00:19:51.600]  它現在還是被處置的狀態
[00:19:51.600 --> 00:19:53.900]  處置照樣長 長到三百多
[00:19:53.900 --> 00:19:54.700]  那我先跟它講
[00:19:54.700 --> 00:19:57.600]  因為它PD這個叫做光徵測器
[00:19:57.600 --> 00:20:01.400]  全球最大的站齊成的PD光徵器
[00:20:01.400 --> 00:20:03.600]  因為你光通訊一定要光徵日期
[00:20:03.600 --> 00:20:04.900]  其實是來自於它
[00:20:04.900 --> 00:20:06.200]  它又有在加州場
[00:20:06.200 --> 00:20:07.800]  那雷瑟CW雷瑟
[00:20:07.800 --> 00:20:08.800]  它是在新組
[00:20:08.800 --> 00:20:09.600]  那這種各國
[00:20:09.600 --> 00:20:11.100]  你不用追高
[00:20:11.100 --> 00:20:12.700]  你可以靠近十日線再來買
[00:20:12.700 --> 00:20:14.200]  最後副僑我們檢視一下
[00:20:14.200 --> 00:20:15.200]  直接看K副僑
[00:20:15.200 --> 00:20:16.900]  我們來看副僑
[00:20:16.900 --> 00:20:19.600]  副僑這檔各國真的很神奇
[00:20:19.600 --> 00:20:20.600]  什麼叫很神奇呢
[00:20:20.600 --> 00:20:21.600]  我們來看一下投信
[00:20:21.600 --> 00:20:22.800]  慢慢買
[00:20:22.800 --> 00:20:24.600]  就跟你賣下來了
[00:20:24.600 --> 00:20:25.600]  所以我就跟他講說
[00:20:25.600 --> 00:20:26.600]  那為什麼呢
[00:20:26.600 --> 00:20:29.300]  因為其實新興在之前就談到說
[00:20:29.300 --> 00:20:32.400]  其實整個一個所謂的剝錢不剝錢上
[00:20:32.400 --> 00:20:34.000]  還要是看日系
[00:20:34.000 --> 00:20:35.600]  尤其在高階的部分
[00:20:35.600 --> 00:20:37.100]  所以他們就是獲利
[00:20:37.100 --> 00:20:38.200]  一直沒有辦法跟上
[00:20:38.200 --> 00:20:39.400]  我可不可以很簡單的
[00:20:39.400 --> 00:20:41.700]  既然你說投信是畫素也簡單
[00:20:41.700 --> 00:20:42.900]  投信買它就漲
[00:20:42.900 --> 00:20:44.300]  投信出你就不要動
[00:20:44.300 --> 00:20:45.500]  投信買它就漲
[00:20:45.500 --> 00:20:46.400]  投信只要一出
[00:20:46.400 --> 00:20:47.200]  你就暗品不動
[00:20:47.200 --> 00:20:48.700]  所以這個部分裡面
[00:20:48.700 --> 00:20:50.400]  你就只能做一件事情
[00:20:50.400 --> 00:20:51.900]  投信如果不是只買一天
[00:20:51.900 --> 00:20:52.300]  對
[00:20:52.300 --> 00:20:53.200]  它連買兩天
[00:20:53.200 --> 00:20:54.500]  跟進去
[00:20:54.500 --> 00:20:57.000]  有賺創新高你就跑
[00:20:57.000 --> 00:20:58.400]  那只能夠用這種方式
[00:20:58.400 --> 00:20:59.500]  稍微去做應對
[00:20:59.500 --> 00:21:01.400]  因為畢竟這一類型的各股上面
[00:21:01.400 --> 00:21:02.000]  來講話
[00:21:02.000 --> 00:21:04.400]  它可能在去年上面的獲利
[00:21:04.400 --> 00:21:05.500]  還不會那麼的好
[00:21:05.500 --> 00:21:06.300]  非常清楚
[00:21:06.300 --> 00:21:07.600]  謝謝書方老師
[00:21:07.600 --> 00:21:08.600]  請先回座了
[00:21:08.600 --> 00:21:10.200]  休息下來談談下禮拜二
[00:21:10.200 --> 00:21:11.200]  元宵結了
[00:21:11.200 --> 00:21:13.200]  會不會有變盤一律
[00:21:13.200 --> 00:21:14.100]  休息一下
[00:21:14.100 --> 00:21:15.600]  是你老實告訴你
[00:21:15.600 --> 00:21:17.200]  台股連長六天了
[00:21:17.200 --> 00:21:19.800]  每天都在創立史新高
[00:21:19.800 --> 00:21:22.200]  明天過後幾張要休假
[00:21:22.200 --> 00:21:23.800]  禮拜五是休息一天的
[00:21:23.800 --> 00:21:25.800]  今天有一天天不一樣
[00:21:25.800 --> 00:21:27.100]  今天除了出量之外
[00:21:27.100 --> 00:21:28.300]  來看到外資
[00:21:28.300 --> 00:21:29.400]  外資看起來
[00:21:29.400 --> 00:21:31.600]  今天先獲買了413億元
[00:21:31.600 --> 00:21:33.700]  好像要來赶進度追台股
[00:21:33.700 --> 00:21:35.500]  但是請記住那個金額
[00:21:35.500 --> 00:21:37.000]  四百一十三億
[00:21:37.000 --> 00:21:39.000]  外資今天空單布了
[00:21:39.000 --> 00:21:41.400]  六千三百八十一口
[00:21:41.400 --> 00:21:42.600]  這是什麼概念呢
[00:21:42.600 --> 00:21:43.600]  我算一算
[00:21:43.600 --> 00:21:46.500]  六千三百八十一口的空單
[00:21:46.500 --> 00:21:48.700]  相當於做空金額
[00:21:48.700 --> 00:21:50.800]  四百五十二億
[00:21:50.800 --> 00:21:53.600]  現貨買四百一十三億
[00:21:53.600 --> 00:21:56.200]  做空四百五十二億
[00:21:56.200 --> 00:21:58.300]  這是真心真意嗎
[00:21:58.300 --> 00:21:59.500]  我就擔心
[00:21:59.500 --> 00:22:00.400]  監老師
[00:22:00.400 --> 00:22:01.700]  如果外資看起來
[00:22:01.700 --> 00:22:03.500]  整體它是做空的
[00:22:03.500 --> 00:22:05.000]  比較偏空的
[00:22:05.000 --> 00:22:07.200]  下禮拜二就是原銷結了
[00:22:07.200 --> 00:22:09.300]  外資的空單在避險嗎
[00:22:09.300 --> 00:22:10.900]  原銷台股會不會變盤
[00:22:10.900 --> 00:22:11.600]  OK
[00:22:11.600 --> 00:22:14.300]  如果單純從外資的角度來看
[00:22:14.300 --> 00:22:16.700]  因為外資大部分是跟美股在做
[00:22:16.700 --> 00:22:17.700]  其實美股股是
[00:22:17.700 --> 00:22:19.700]  是最近全球股是最弱的
[00:22:19.700 --> 00:22:21.200]  所以它這樣的一個動作
[00:22:21.200 --> 00:22:23.400]  其實做一個避險的一個效應
[00:22:23.400 --> 00:22:24.600]  我覺得是合理
[00:22:24.600 --> 00:22:26.100]  但是如果你換到台股
[00:22:26.100 --> 00:22:28.500]  會不會在原銷結之後就變盤
[00:22:28.500 --> 00:22:29.900]  我個人的想法是
[00:22:29.900 --> 00:22:32.000]  指數面是有困難
[00:22:32.000 --> 00:22:34.000]  因為現在價量起洋
[00:22:34.000 --> 00:22:35.600]  除非發生什麼
[00:22:35.600 --> 00:22:37.300]  劇量長黑
[00:22:37.300 --> 00:22:38.200]  爆量長黑
[00:22:38.200 --> 00:22:39.200]  你說這個有變盤
[00:22:39.200 --> 00:22:41.500]  那這個可能性就會比較高一點
[00:22:41.500 --> 00:22:43.800]  但如果說你假設都是金金漲
[00:22:43.800 --> 00:22:44.700]  不是盤就漲
[00:22:44.700 --> 00:22:46.600]  而且量能都溫和放大
[00:22:46.600 --> 00:22:48.300]  它要變盤的機率是不高的
[00:22:48.300 --> 00:22:50.200]  所以你是說指數要大跌的機率
[00:22:50.200 --> 00:22:50.900]  可能不高
[00:22:50.900 --> 00:22:51.400]  對
[00:22:51.400 --> 00:22:52.800]  我個人的想法大概是這樣
[00:22:52.800 --> 00:22:54.800]  那各部有什麼機會上車呢
[00:22:54.800 --> 00:22:56.600]  如果指數不拉回來的話
[00:22:56.600 --> 00:22:57.200]  好
[00:22:57.200 --> 00:22:58.400]  那我就要提就說
[00:22:58.400 --> 00:23:01.800]  變盤其他一種就是內容的轉變
[00:23:01.800 --> 00:23:02.800]  所以我們就要來看一下
[00:23:02.800 --> 00:23:05.300]  所以三月份有什麼展覽
[00:23:05.300 --> 00:23:06.000]  或是什麼
[00:23:06.000 --> 00:23:08.600]  它可能會引導資金的走向
[00:23:08.600 --> 00:23:11.300]  那當然三月初從下禮拜
[00:23:11.300 --> 00:23:12.200]  1234
[00:23:12.200 --> 00:23:14.000]  看就三月二號到三月五號
[00:23:14.000 --> 00:23:17.200]  就是MWC的世界行動通知大展
[00:23:17.200 --> 00:23:18.900]  我想這個大家都有聽到
[00:23:18.900 --> 00:23:20.300]  但是重點是什麼
[00:23:20.300 --> 00:23:22.500]  其實這一次有一點不太一樣
[00:23:22.500 --> 00:23:24.500]  它的名字取叫什麼
[00:23:24.500 --> 00:23:26.800]  開啟智商時代
[00:23:26.800 --> 00:23:28.500]  這個IQ ERA
[00:23:28.500 --> 00:23:29.600]  或是ARA好了
[00:23:29.600 --> 00:23:32.000]  那這個智商時代什麼
[00:23:32.000 --> 00:23:33.900]  簡單講就是AI
[00:23:33.900 --> 00:23:36.100]  所以其實MWC展以前在講什麼
[00:23:36.100 --> 00:23:37.400]  講手機的
[00:23:37.400 --> 00:23:38.800]  但是現在怎麼不講手機
[00:23:38.800 --> 00:23:39.800]  它在講AI
[00:23:39.800 --> 00:23:41.900]  它包含事實上有六大議題
[00:23:41.900 --> 00:23:43.400]  但是我看它六大議題
[00:23:43.400 --> 00:23:44.200]  當然是什麼
[00:23:44.200 --> 00:23:46.400]  包含起來就是AI基礎設施
[00:23:46.400 --> 00:23:47.900]  AI的企業應用
[00:23:47.900 --> 00:23:50.200]  以及AI的普及應用
[00:23:50.200 --> 00:23:52.200]  那這個就很像是AIA卷
[00:23:52.200 --> 00:23:55.300]  那這個就像AI企業的一個轉換
[00:23:55.300 --> 00:23:58.000]  那當然你要做到這些
[00:23:58.000 --> 00:23:59.200]  那很簡單
[00:23:59.200 --> 00:24:01.200]  AI的基礎建設一定要
[00:24:01.200 --> 00:24:02.700]  六句一定要
[00:24:02.700 --> 00:24:04.700]  今年特別特殊
[00:24:04.700 --> 00:24:06.600]  因為特斯拉加進來了
[00:24:06.600 --> 00:24:08.200]  所以今天的MWC
[00:24:08.200 --> 00:24:11.100]  又有太空的衛星的一個概念
[00:24:11.100 --> 00:24:13.800]  所以好像今年的MWC展
[00:24:13.800 --> 00:24:15.900]  跟過去來比較不一樣
[00:24:15.900 --> 00:24:17.900]  那這個大家都比較清楚
[00:24:17.900 --> 00:24:20.300]  但是其實我聚焦了不是在這個地方
[00:24:20.300 --> 00:24:21.400]  我聚焦的是
[00:24:21.400 --> 00:24:24.800]  MWC展裡面有個叫台灣館
[00:24:24.800 --> 00:24:27.000]  台灣館顧名思義怎樣
[00:24:27.000 --> 00:24:28.200]  它跟台灣的廠商
[00:24:28.200 --> 00:24:29.700]  就觀念度高了
[00:24:29.700 --> 00:24:31.700]  它除了有台灣館之外
[00:24:31.700 --> 00:24:33.700]  還有一些相關公司
[00:24:33.700 --> 00:24:35.400]  有自行參展
[00:24:35.400 --> 00:24:37.200]  那我個人覺得
[00:24:37.200 --> 00:24:39.700]  真的名牌可能就存在裡面
[00:24:39.700 --> 00:24:42.500]  那我把它列出來一些主要的公司
[00:24:42.500 --> 00:24:44.400]  比方講像這個什麼
[00:24:44.400 --> 00:24:45.900]  藥燈跟藥瑞
[00:24:45.900 --> 00:24:47.600]  這個是指公司
[00:24:47.600 --> 00:24:48.900]  那做什麼
[00:24:48.900 --> 00:24:50.900]  就是通訊的原件
[00:24:50.900 --> 00:24:52.400]  其實它最近的長不少
[00:24:52.400 --> 00:24:54.400]  感覺上它也是為了什麼
[00:24:54.400 --> 00:24:56.200]  MWC展來加溫
[00:24:56.200 --> 00:24:59.000]  甚至你說廣機、心悍
[00:24:59.000 --> 00:25:00.000]  跟愛訓
[00:25:00.000 --> 00:25:02.000]  其實這個是屬於工業電腦
[00:25:02.000 --> 00:25:04.000]  但是我發現它的量能不是很大錢
[00:25:04.000 --> 00:25:05.500]  股價未接在低的
[00:25:05.500 --> 00:25:07.000]  大家在MWC展中
[00:25:07.000 --> 00:25:09.000]  對它其實也是加分
[00:25:09.000 --> 00:25:10.000]  那再來
[00:25:10.000 --> 00:25:12.000]  升達科就絕對是一個加分
[00:25:12.000 --> 00:25:15.500]  因為它是所有衛星通訊的原件
[00:25:15.500 --> 00:25:17.500]  連發科也進來了
[00:25:17.500 --> 00:25:19.500]  還有甚至像滑通
[00:25:19.500 --> 00:25:20.500]  也有進來
[00:25:20.500 --> 00:25:21.500]  還有可以擺一
[00:25:21.500 --> 00:25:24.000]  感覺上跟這個也有一點相關
