# 逐字稿 - moneyline_20260227_part3
# 來源網址: https://www.youtube.com/watch?v=h6oc4Zi7yzw
# 轉換日期: 2026-02-27 20:33:01
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:09.200]  接下來這個案例
[00:11:44.800 --> 00:11:45.600]  是滿好的
[00:11:45.600 --> 00:11:50.000]  其實這個財產
[00:11:50.000 --> 00:11:51.200]  你送給人家東西
[00:11:51.200 --> 00:11:52.400]  其實不太能拿回來
[00:11:52.400 --> 00:11:53.400]  其實我這個案例裡面
[00:11:53.400 --> 00:11:55.000]  我覺得應該最好的防禦
[00:11:55.000 --> 00:11:56.800]  就是如果今天可以事前防禦
[00:11:56.800 --> 00:11:58.400]  跟爸爸其實還有8億
[00:11:58.400 --> 00:11:59.400]  或他有6億
[00:11:59.400 --> 00:12:00.800]  這個金額的話
[00:12:00.800 --> 00:12:02.000]  還是要做一些預防
[00:12:02.000 --> 00:12:03.000]  OK
[00:12:03.000 --> 00:12:04.200]  所以如果今天家人
[00:12:04.200 --> 00:12:05.800]  如果覺得家人
[00:12:05.800 --> 00:12:07.400]  有這個反應的
[00:12:07.400 --> 00:12:08.800]  有些異常的話
[00:12:08.800 --> 00:12:11.200]  還有要急著申請監護宣告
[00:12:11.200 --> 00:12:13.200]  因為當有監護宣告的時候是這樣
[00:12:13.200 --> 00:12:14.400]  我就不能夠任意
[00:12:14.400 --> 00:12:16.000]  把房子去做過
[00:12:16.000 --> 00:12:17.600]  要經過監護人的同意
[00:12:17.600 --> 00:12:19.000]  他會受到獵館的
[00:12:19.000 --> 00:12:20.200]  所以這是監護宣告
[00:12:20.200 --> 00:12:21.400]  這重要的點
[00:12:21.400 --> 00:12:22.600]  那或說今天
[00:12:22.600 --> 00:12:23.600]  覺得爸爸覺得說
[00:12:23.600 --> 00:12:25.600]  哪一個孩子比較適合監護他
[00:12:25.600 --> 00:12:26.600]  做好意義監護
[00:12:26.600 --> 00:12:28.000]  因為現在有配偶
[00:12:28.000 --> 00:12:29.400]  萬一今天真的是
[00:12:29.400 --> 00:12:30.600]  要監護宣告的時候
[00:12:30.600 --> 00:12:32.400]  如果這情形如果小兒子可以的話
[00:12:32.400 --> 00:12:33.600]  會哪一個兒子女兒
[00:12:33.600 --> 00:12:35.200]  那他就當監護人
[00:12:35.200 --> 00:12:36.200]  或者財產的信託
[00:12:36.200 --> 00:12:37.000]  信託
[00:12:37.000 --> 00:12:37.800]  因為信託起來
[00:12:37.800 --> 00:12:40.200]  就完完全全被礦管住
[00:12:40.200 --> 00:12:41.200]  不然先礦管住之後
[00:12:41.200 --> 00:12:42.800]  這個就不會被挪動
[00:12:42.800 --> 00:12:44.000]  好 整個案件
[00:12:44.000 --> 00:12:45.200]  流程順下來
[00:12:45.200 --> 00:12:46.200]  很多人要問
[00:12:46.200 --> 00:12:48.600]  來  102歲還能結婚
[00:12:48.600 --> 00:12:49.800]  法律有年齡限制嗎
[00:12:49.800 --> 00:12:50.800]  沒有 沒有年齡限制
[00:12:50.800 --> 00:12:51.600]  所以 102歲
[00:12:51.600 --> 00:12:52.800]  120歲也可以結婚
[00:12:52.800 --> 00:12:55.000]  OK 如果這個老爸爸
[00:12:55.000 --> 00:12:56.600]  爺爺經過了醫療評估
[00:12:56.600 --> 00:12:58.000]  他有失能的狀況
[00:12:58.000 --> 00:12:59.600]  家屬能不能向法院申請
[00:12:59.600 --> 00:13:00.400]  婚姻無效
[00:13:00.400 --> 00:13:02.600]  或者財產過乎是無效的
[00:13:02.600 --> 00:13:04.600]  譬如這上要看個案認定
[00:13:04.600 --> 00:13:05.800]  家屬不能要老先生
[00:13:05.800 --> 00:13:07.600]  本人的民意去處理
[00:13:07.600 --> 00:13:09.800]  婚姻無效是比較可能的
[00:13:09.800 --> 00:13:10.800]  那麼財產過乎無效
[00:13:10.800 --> 00:13:12.200]  話要看個案比較難
[00:13:12.200 --> 00:13:14.000]  因為如果排行過乎的時候
[00:13:14.000 --> 00:13:15.600]  其實應該都會經過
[00:13:15.600 --> 00:13:17.600]  醫療人串的一些
[00:13:17.600 --> 00:13:19.600]  因為他不是隨隨便便可以過乎
[00:13:19.600 --> 00:13:20.800]  當時但已經沒有
[00:13:20.800 --> 00:13:22.200]  當時沒有監護宣告
[00:13:22.200 --> 00:13:23.600]  所以其實原則上
[00:13:23.600 --> 00:13:24.600]  他是合法的
[00:13:24.600 --> 00:13:26.200]  除非要舉反正
[00:13:26.200 --> 00:13:27.800]  所以說有很多案例
[00:13:27.800 --> 00:13:29.000]  你覺得他不多失能
[00:13:29.000 --> 00:13:30.000]  現在都不失誤
[00:13:30.000 --> 00:13:31.000]  不行
[00:13:31.000 --> 00:13:32.000]  他現在失誤
[00:13:32.000 --> 00:13:32.800]  失能 並不待會
[00:13:32.800 --> 00:13:34.000]  當時失誤
[00:13:34.000 --> 00:13:35.800]  OK 好 看護取得了土地跟保丹
[00:13:35.800 --> 00:13:37.600]  要不要假在雨碎
[00:13:37.600 --> 00:13:38.800]  原則上土地
[00:13:38.800 --> 00:13:40.600]  保丹如果他是配有狀況上
[00:13:40.600 --> 00:13:42.200]  配有互相鎮癒是不會
[00:13:42.200 --> 00:13:43.800]  但是如果說今天不是的話
[00:13:43.800 --> 00:13:44.600]  是要的
[00:13:44.600 --> 00:13:45.400]  可能要的
[00:13:45.400 --> 00:13:46.200]  好 最後
[00:13:46.200 --> 00:13:48.000]  這個也也如果受過了
[00:13:48.000 --> 00:13:50.000]  監護宣告後來再婚
[00:13:50.000 --> 00:13:51.800]  那這個婚姻的效率有效
[00:13:51.800 --> 00:13:52.800]  就要看
[00:13:52.800 --> 00:13:53.600]  應該這麼說說
[00:13:53.600 --> 00:13:55.000]  監護宣告再婚
[00:13:55.000 --> 00:13:57.000]  就是倫敦是不能再婚的
[00:13:57.000 --> 00:13:59.000]  如果他沒有婚姻的關係當中
[00:13:59.000 --> 00:14:00.600]  監護宣告等是可以結婚的
[00:14:00.600 --> 00:14:02.400]  OK 好 清楚
[00:14:02.400 --> 00:14:03.200]  謝謝蘇律師
[00:14:03.200 --> 00:14:04.200]  請先回座了
[00:14:04.200 --> 00:14:06.200]  今天壓軸瞄叫給志源
[00:14:06.200 --> 00:14:07.400]  最近這一陣子
[00:14:07.400 --> 00:14:09.600]  美國正在陸續公佈各個企業
[00:14:09.600 --> 00:14:10.800]  的13F報告
[00:14:10.800 --> 00:14:12.400]  志源在節目一開始提醒大家
[00:14:12.400 --> 00:14:13.600]  他是一些散戶
[00:14:13.600 --> 00:14:15.800]  聰明前非常重要的指標
[00:14:15.800 --> 00:14:17.000]  到底花兒街最近
[00:14:17.000 --> 00:14:18.600]  重要的聰明前流向哪裡
[00:14:18.600 --> 00:14:20.200]  休息一下 稍後告訴你
[00:14:20.200 --> 00:14:21.600]  美國股市還在盤
[00:14:21.600 --> 00:14:23.200]  台北股市先創新高了
[00:14:23.200 --> 00:14:24.400]  美國股市有沒有機會
[00:14:24.400 --> 00:14:26.800]  跟上大咖的錢跑去哪裡
[00:14:26.800 --> 00:14:28.200]  來 志源幫我們剪秘
[00:14:28.200 --> 00:14:30.400]  最新公佈的13F報告
[00:14:30.400 --> 00:14:31.200]  好 最近呢
[00:14:31.200 --> 00:14:33.200]  其實美國走得點點婆婆
[00:14:33.200 --> 00:14:34.600]  大家都在想說
[00:14:34.600 --> 00:14:36.800]  這些花兒街他們到底是什麼看
[00:14:36.800 --> 00:14:39.600]  為什麼會感覺上從差這麼多呢
[00:14:39.600 --> 00:14:42.600]  那這邊我就把最近的13F報告
[00:14:42.600 --> 00:14:45.000]  整理出這個五大咖
[00:14:45.000 --> 00:14:47.400]  這五大咖來講都是非常重要
[00:14:47.400 --> 00:14:49.000]  那第一大咖當然要看
[00:14:49.000 --> 00:14:51.400]  我們股神8FAT的波克下
[00:14:51.400 --> 00:14:53.800]  那這一季的13F報告
[00:14:53.800 --> 00:14:55.000]  非常的重要 為什麼
[00:14:55.000 --> 00:14:58.000]  這是8FAT時代的落幕
[00:14:58.000 --> 00:14:59.200]  也就是說的最後一次
[00:14:59.200 --> 00:15:01.000]  對 最後一次
[00:15:01.000 --> 00:15:02.800]  但是這一次的一個
[00:15:02.800 --> 00:15:05.800]  布局呢 我覺得也非常有巧妙的
[00:15:05.800 --> 00:15:06.800]  意味在
[00:15:06.800 --> 00:15:08.800]  好 第一個來講的話
[00:15:08.800 --> 00:15:10.800]  我們都知道說其實波克下
[00:15:10.800 --> 00:15:12.400]  股神在這一段時間
[00:15:12.400 --> 00:15:15.000]  其實現金儲備都還蠻高的
[00:15:15.000 --> 00:15:18.200]  但是呢 最近這一季的現金儲備
[00:15:18.200 --> 00:15:20.000]  又提高了
[00:15:20.000 --> 00:15:22.200]  到3817億美元
[00:15:22.200 --> 00:15:24.200]  還是創始上的一個新高
[00:15:24.200 --> 00:15:26.600]  是不是不看好美股呢
[00:15:26.600 --> 00:15:29.200]  好像有一點點這樣的意味在
[00:15:29.200 --> 00:15:31.000]  但是呢 這個有一個好處
[00:15:31.000 --> 00:15:33.400]  就是說為後面新任的執行者
[00:15:33.400 --> 00:15:35.300]  阿伯爾劉族的銀彈
[00:15:35.300 --> 00:15:38.200]  也就是說下一季阿伯爾在做
[00:15:38.200 --> 00:15:39.500]  所謂的布局的時候
[00:15:39.500 --> 00:15:42.600]  其實他有充沛的銀彈可以做
[00:15:42.600 --> 00:15:43.600]  我覺得最重要的一點
[00:15:43.600 --> 00:15:46.000]  就是對所謂的亞馬遜
[00:15:46.000 --> 00:15:47.200]  美股七雄的亞馬遜
[00:15:47.200 --> 00:15:49.400]  做三手式的檢池
[00:15:49.400 --> 00:15:50.700]  為什麼叫三手式呢
[00:15:50.700 --> 00:15:53.600]  是因為他檢池的將近八成
[00:15:53.600 --> 00:15:56.200]  其實七趴非常非常多
[00:15:56.200 --> 00:15:58.500]  那所以我高度的懷疑說
[00:15:58.500 --> 00:16:00.100]  最近這個亞馬遜股價表
[00:16:00.100 --> 00:16:01.800]  現在蠻不好的
[00:16:01.800 --> 00:16:04.000]  應該就是被巴菲特賣下來
[00:16:04.000 --> 00:16:06.000]  而且很多人看巴菲特
[00:16:06.000 --> 00:16:08.000]  也賣這麼多之後呢
[00:16:08.000 --> 00:16:09.700]  可能對亞馬遜就比較看
[00:16:09.700 --> 00:16:12.500]  而且他在這一輪的AI金賽裡面
[00:16:12.500 --> 00:16:14.000]  看起來沒有比較有一個
[00:16:14.000 --> 00:16:15.000]  突出的一個表現
[00:16:15.000 --> 00:16:16.700]  除了檢池 亞馬遜
[00:16:16.700 --> 00:16:17.800]  還泡了哪些國家
[00:16:17.800 --> 00:16:19.200]  連續三季都檢池蘋果
[00:16:19.200 --> 00:16:21.000]  但是蘋果還是佔他
[00:16:21.000 --> 00:16:22.700]  這個比重的一個第一名
[00:16:22.700 --> 00:16:24.000]  比較特別一點
[00:16:24.000 --> 00:16:26.600]  說他加碼的這個紐約時報
[00:16:26.600 --> 00:16:29.000]  另外來講他也加碼了雪浮龍
[00:16:29.000 --> 00:16:30.500]  這部分就是能源股的部分
[00:16:30.500 --> 00:16:32.000]  跟安達保險
[00:16:32.000 --> 00:16:33.400]  這部分來講是一個
[00:16:33.400 --> 00:16:36.800]  比較防禦性的一個布局
[00:16:36.800 --> 00:16:37.800]  那詳細的布局呢
[00:16:37.800 --> 00:16:38.800]  大家可以看一下
[00:16:38.800 --> 00:16:40.200]  因為這是從外電來的
[00:16:40.200 --> 00:16:42.000]  我覺得這個製作單位
[00:16:42.000 --> 00:16:43.700]  整理的好
[00:16:43.700 --> 00:16:44.400]  整理的很好
[00:16:44.400 --> 00:16:45.700]  大家可以慢慢地看
[00:16:45.700 --> 00:16:47.100]  那第二大咖
[00:16:47.100 --> 00:16:49.400]  我們來看一下就是瞧水基金
[00:16:49.400 --> 00:16:50.600]  那瞧水基金的話
[00:16:50.600 --> 00:16:52.900]  是比市場上比較出名的
[00:16:52.900 --> 00:16:54.500]  所謂的對衝基金
[00:16:54.500 --> 00:16:55.300]  那他這一次呢
[00:16:55.300 --> 00:16:57.800]  我們先簡單講就是重壓AI
[00:16:57.800 --> 00:17:00.800]  而且呢還有標普500EPAF
[00:17:00.800 --> 00:17:02.100]  那第一個呢
[00:17:02.100 --> 00:17:03.700]  就是說他大幅加碼的
[00:17:03.700 --> 00:17:04.700]  各我們下來看一下
[00:17:04.700 --> 00:17:06.100]  有我們的灰打
[00:17:06.100 --> 00:17:07.100]  有美光
[00:17:07.100 --> 00:17:08.600]  有亞馬遜
[00:17:08.600 --> 00:17:10.500]  那幾乎就是在美股氣胸裡面
[00:17:10.500 --> 00:17:11.700]  再加記憶體
[00:17:11.700 --> 00:17:12.600]  那麼灰打呢
[00:17:12.600 --> 00:17:14.400]  已經成為他第三大
[00:17:14.400 --> 00:17:15.900]  持股的一個部分
[00:17:15.900 --> 00:17:17.400]  那捷碼的有哪一些呢
[00:17:17.400 --> 00:17:18.600]  有捷碼的阿兜比
[00:17:18.600 --> 00:17:21.000]  做那個PDF的那個公司
[00:17:21.000 --> 00:17:23.000]  還有烏爾
[00:17:23.000 --> 00:17:24.400]  然後Meta臉書
[00:17:24.400 --> 00:17:25.200]  這個詐騙太多
[00:17:25.200 --> 00:17:28.000]  應該好好接碼了
[00:17:28.000 --> 00:17:30.300]  那大幅度加碼的還有哪一些呢
[00:17:30.300 --> 00:17:33.500]  他加碼了標普500的EPAF
[00:17:33.500 --> 00:17:35.600]  他成為他第一大持股
[00:17:35.600 --> 00:17:38.200]  而且佔了多少是11.1
[00:17:38.200 --> 00:17:41.000]  你看SPY就是標普500
[00:17:41.000 --> 00:17:42.500]  佔了11.1%
[00:17:42.500 --> 00:17:43.700]  跟紐盟特
[00:17:43.700 --> 00:17:45.200]  其實我們在前期版本
[00:17:45.200 --> 00:17:47.400]  擺有多次介紹給大家
[00:17:47.400 --> 00:17:48.800]  黃金基金
[00:17:48.800 --> 00:17:49.800]  很多都買
[00:17:49.800 --> 00:17:51.500]  紐盟特這一家公司
[00:17:51.500 --> 00:17:53.500]  是一個黃金類股
[00:17:53.500 --> 00:17:54.100]  所以這個部分
[00:17:54.100 --> 00:17:55.100]  大家可以感受到
[00:17:55.100 --> 00:17:58.100]  中亞AI大型股的EPAF
[00:17:58.100 --> 00:18:01.100]  還有在布局所謂黃金類股的一個部分
[00:18:01.100 --> 00:18:01.600]  好
[00:18:01.600 --> 00:18:02.600]  那第三大
[00:18:02.600 --> 00:18:03.600]  對 這種我有興趣
[00:18:03.600 --> 00:18:04.600]  超抵王
[00:18:04.600 --> 00:18:05.600]  對 超抵王
[00:18:05.600 --> 00:18:06.100]  阿帆路上
[00:18:06.100 --> 00:18:06.600]  阿帆路上
[00:18:06.600 --> 00:18:08.100]  不是阿帆路
[00:18:08.100 --> 00:18:09.600]  那他們是他可能
[00:18:09.600 --> 00:18:11.100]  大家比較少聽到
[00:18:11.100 --> 00:18:13.100]  但是他其實有被譽為
[00:18:13.100 --> 00:18:15.100]  華爾這些超抵王之稱
[00:18:15.100 --> 00:18:16.100]  他加碼的個股
[00:18:16.100 --> 00:18:18.600]  我覺得也非常值得留意
[00:18:18.600 --> 00:18:20.600]  大幅度加碼的美光
[00:18:20.600 --> 00:18:22.600]  成為他第四大的一個持股
[00:18:22.600 --> 00:18:23.600]  在這個地方
[00:18:23.600 --> 00:18:25.300]  就是13F報告
[00:18:25.300 --> 00:18:27.100]  如果找一點曝光多好
[00:18:27.100 --> 00:18:27.600]  沒辦法
[00:18:27.600 --> 00:18:29.600]  因為同行有一點的落貨性
[00:18:29.600 --> 00:18:32.600]  但我覺得還蠻具指標意義的
[00:18:32.600 --> 00:18:35.100]  而且新建艙非常有意識
[00:18:35.100 --> 00:18:36.100]  加碼什麼
[00:18:36.100 --> 00:18:37.600]  南韓的ETF
[00:18:37.600 --> 00:18:38.600]  已經加碼了
[00:18:38.600 --> 00:18:40.100]  美國的美光還不夠
[00:18:40.100 --> 00:18:42.100]  還去加碼南韓的ETF
[00:18:42.100 --> 00:18:42.600]  所以你看
[00:18:42.600 --> 00:18:45.100]  他多看好記憶體的一個部分
[00:18:45.100 --> 00:18:46.100]  那美股的部分
[00:18:46.100 --> 00:18:47.100]  他加碼哪一些
[00:18:47.100 --> 00:18:48.100]  沒它
[00:18:48.100 --> 00:18:50.600]  跟剛剛又有一點點不一樣
[00:18:50.600 --> 00:18:51.600]  股溝
[00:18:51.600 --> 00:18:52.600]  股溝的部分也有
[00:18:52.600 --> 00:18:54.100]  而且股溝是戰第二大
[00:18:54.100 --> 00:18:55.100]  持股的一個部分
[00:18:55.100 --> 00:18:57.100]  但減碼了超尾
[00:18:57.100 --> 00:18:58.100]  這一點的話
[00:18:58.100 --> 00:19:00.600]  也是一個比較大的地方
[00:19:00.600 --> 00:19:02.100]  還有一個很有趣的現象
[00:19:02.100 --> 00:19:03.100]  就大幅度
[00:19:03.100 --> 00:19:05.100]  減碼了像阿里巴巴擺度
[00:19:05.100 --> 00:19:07.100]  京東跟路股的ETF
[00:19:07.100 --> 00:19:08.100]  都是跟大陸相關的
[00:19:08.100 --> 00:19:10.100]  也就是他大幅度的降低
[00:19:10.100 --> 00:19:13.600]  他所謂的中國資產的一個鋪銜
[00:19:13.600 --> 00:19:14.600]  其實這一兩年
[00:19:14.600 --> 00:19:16.100]  這個中國股市跟港股表現
[00:19:16.100 --> 00:19:17.100]  他還不錯
[00:19:17.100 --> 00:19:19.100]  但是他感覺上來講
[00:19:19.100 --> 00:19:21.600]  可能是因為中美貿易衝突的一個關係
[00:19:21.600 --> 00:19:25.100]  刻意降低所謂中國資產鋪銜的一個部分
[00:19:25.100 --> 00:19:26.600]  OK 這些超抵王
[00:19:26.600 --> 00:19:27.600]  來 索羅斯呢
[00:19:27.600 --> 00:19:29.600]  索羅斯也是過去量子基金
[00:19:29.600 --> 00:19:30.600]  是非常有名
[00:19:30.600 --> 00:19:33.100]  他集中在索羅斯科技巨頭的一個部分
[00:19:33.100 --> 00:19:34.600]  跟避險
[00:19:34.600 --> 00:19:35.600]  亞馬遜
[00:19:35.600 --> 00:19:37.600]  我們看看到這個
[00:19:37.600 --> 00:19:41.100]  被巴菲特斬首飾的檢測
[00:19:41.100 --> 00:19:42.600]  但是在這個地方
[00:19:42.600 --> 00:19:45.100]  成為他一個最大的一個成分股
[00:19:45.100 --> 00:19:46.600]  我覺得還蠻有趣
[00:19:46.600 --> 00:19:48.600]  持續加碼微軟的一個部分
[00:19:48.600 --> 00:19:49.600]  在這個地方來講
[00:19:49.600 --> 00:19:52.600]  索羅斯跟其他的這個花耳機大咖
[00:19:52.600 --> 00:19:54.600]  似乎有一點點不太一樣的地方
[00:19:54.600 --> 00:19:57.600]  信建艙是開黃金的開展商
[00:19:57.600 --> 00:19:58.600]  叫做New Go
[00:19:58.600 --> 00:19:59.600]  方向出來了
[00:19:59.600 --> 00:20:00.600]  對 也是黃金股
[00:20:00.600 --> 00:20:02.600]  又看到黃金股
[00:20:02.600 --> 00:20:03.600]  而且還加碼了
[00:20:03.600 --> 00:20:04.600]  Corewave
[00:20:04.600 --> 00:20:05.600]  Corewave
[00:20:05.600 --> 00:20:08.600]  就是我們這個會打的親子對不對
[00:20:08.600 --> 00:20:10.600]  那出境哪一些呢
[00:20:10.600 --> 00:20:12.600]  出境福特汽車跟中國大型的
[00:20:12.600 --> 00:20:14.600]  大型股的這個一天
[00:20:14.600 --> 00:20:15.600]  跟剛剛一樣
[00:20:15.600 --> 00:20:17.600]  也是有一點點像
[00:20:17.600 --> 00:20:18.600]  所以這個部分的話
[00:20:18.600 --> 00:20:20.600]  可以提醒大家做留意
[00:20:20.600 --> 00:20:21.600]  被來得呢
[00:20:21.600 --> 00:20:22.600]  那被來得這部分也很重要
[00:20:22.600 --> 00:20:23.600]  為什麼
[00:20:23.600 --> 00:20:25.600]  因為他種植股的適時高大都好
[00:20:25.600 --> 00:20:28.600]  將近六招非常非常的大
[00:20:28.600 --> 00:20:30.600]  那他加碼的這些科技股
[00:20:30.600 --> 00:20:31.600]  有哪一些呢
[00:20:31.600 --> 00:20:32.600]  有包括股哥
[00:20:32.600 --> 00:20:34.600]  那因為有A股跟C股
[00:20:34.600 --> 00:20:35.600]  還有這個
[00:20:35.600 --> 00:20:37.600]  售售生的禮拜
[00:20:37.600 --> 00:20:40.600]  還有美國跟蘋果的一個部分
[00:20:40.600 --> 00:20:43.600]  但是他減碼了那個標普500的一個部分
[00:20:43.600 --> 00:20:45.600]  但是他減碼的部分
[00:20:45.600 --> 00:20:47.600]  並不是標普500的一天
[00:20:47.600 --> 00:20:49.600]  是他的這個買權
[00:20:49.600 --> 00:20:50.600]  在選擇權的部分
[00:20:50.600 --> 00:20:52.600]  是表這個衍生性金融商品
[00:20:52.600 --> 00:20:54.600]  那ServiceNow跟維策略的部分呢
[00:20:54.600 --> 00:20:57.600]  維策略就是那個比特幣工資嘛
[00:20:57.600 --> 00:20:58.600]  比特幣有最多的大工資
[00:20:58.600 --> 00:21:00.600]  對 把他減碼掉了
[00:21:00.600 --> 00:21:01.600]  那回答呢
[00:21:01.600 --> 00:21:03.600]  穩距他的第一大持股
[00:21:03.600 --> 00:21:04.600]  我們來看一下
[00:21:04.600 --> 00:21:06.600]  他的一個前幾大持股的
[00:21:06.600 --> 00:21:07.600]  最多的就是回答
[00:21:07.600 --> 00:21:10.600]  回答蘋果微軟、Amazon、Google、Tesla
[00:21:10.600 --> 00:21:12.600]  所以你看這個哪一講的話
[00:21:12.600 --> 00:21:14.600]  今天就是在美股七雄裡面
[00:21:14.600 --> 00:21:16.600]  幾乎都是在前面的非常重要的補據
[00:21:16.600 --> 00:21:17.600]  我們整理一下
[00:21:17.600 --> 00:21:19.600]  這些大卡到底怎麼樣
[00:21:19.600 --> 00:21:21.600]  反應在去年第四季資金的留下
[00:21:21.600 --> 00:21:22.600]  給大家這個結論
[00:21:22.600 --> 00:21:24.600]  就是說現在AI投資進入怎麼樣
[00:21:24.600 --> 00:21:25.600]  太若幻強
[00:21:25.600 --> 00:21:26.600]  而且要精準加碼
[00:21:26.600 --> 00:21:28.600]  具有互誠和的龍頭光
[00:21:28.600 --> 00:21:31.600]  兩間公司包括輝達跟美光
[00:21:31.600 --> 00:21:34.600]  是多數的這些華爾街大卡
[00:21:34.600 --> 00:21:37.600]  持有的看好的這個核心股的一個部分
[00:21:37.600 --> 00:21:39.600]  而且他們普遍怎麼樣
[00:21:39.600 --> 00:21:41.600]  加碼所謂的標普500一天
[00:21:41.600 --> 00:21:43.600]  但是也提高現金儲備
[00:21:43.600 --> 00:21:45.600]  跟增加黃金股的部分
[00:21:45.600 --> 00:21:49.600]  來避免所謂的一個市場波動風險
[00:21:49.600 --> 00:21:50.600]  那要留意一下就說
[00:21:50.600 --> 00:21:52.600]  有一點壓住所謂的消費任性
[00:21:52.600 --> 00:21:55.600]  跟週期性付出的這些資金
[00:21:55.600 --> 00:21:57.600]  留下所謂的銘商龍頭股群
[00:21:57.600 --> 00:21:58.600]  這個要留意一下
[00:21:58.600 --> 00:21:59.600]  那大家一定很關心
[00:21:59.600 --> 00:22:01.600]  我也要跟美股一貼
[00:22:01.600 --> 00:22:02.600]  當然你很關心說
[00:22:02.600 --> 00:22:04.600]  有這麼多的美股一貼
[00:22:04.600 --> 00:22:06.600]  那他們的表現到底怎麼樣
[00:22:06.600 --> 00:22:07.600]  結果你會發現它
[00:22:07.600 --> 00:22:09.600]  我們有說過經驗以來
[00:22:09.600 --> 00:22:11.600]  美股走得添添波波對不對
[00:22:11.600 --> 00:22:12.600]  美股一貼經驗以來
[00:22:12.600 --> 00:22:14.600]  可以走得還蠻添波的
[00:22:14.600 --> 00:22:16.600]  你看第一名的
[00:22:16.600 --> 00:22:19.600]  00702 9.4算是最好
[00:22:19.600 --> 00:22:21.600]  但是其他的部分大部分都
[00:22:21.600 --> 00:22:23.600]  有點跌破眼鏡
[00:22:23.600 --> 00:22:25.600]  其實跟我們一開始講
[00:22:25.600 --> 00:22:26.600]  跟健身講有關
[00:22:26.600 --> 00:22:28.600]  美股其實走得還蠻添波的
[00:22:28.600 --> 00:22:30.600]  並不是那種像我們強
[00:22:30.600 --> 00:22:32.600]  台股樣強勢多頭
[00:22:32.600 --> 00:22:33.600]  不萬碼奔騰
[00:22:33.600 --> 00:22:35.600]  是有一點點不太一樣的
[00:22:35.600 --> 00:22:36.600]  所以你會發現到說
[00:22:36.600 --> 00:22:37.600]  經驗以來
[00:22:37.600 --> 00:22:39.600]  大概就只有00702表現的是
[00:22:39.600 --> 00:22:41.600]  稍微比較突出一點
[00:22:41.600 --> 00:22:43.600]  其他的話大概就是
[00:22:43.600 --> 00:22:46.600]  小證小富並沒有很突出的一個表現
[00:22:46.600 --> 00:22:48.600]  如果說在去年來講的話
[00:22:48.600 --> 00:22:51.600]  表現美股基金大概就是許多趴
[00:22:51.600 --> 00:22:52.600]  然後表現比較好的
[00:22:52.600 --> 00:22:54.600]  反而是在所謂的標普500
[00:22:54.600 --> 00:22:56.600]  這些相關的大型股的一貼
[00:22:56.600 --> 00:22:57.600]  920我們來解構一下
[00:22:57.600 --> 00:23:01.600]  今年以來表現最好的是00702
[00:23:01.600 --> 00:23:05.600]  去年表現最好的是00924
[00:23:05.600 --> 00:23:07.600]  這兩檔各比有哪些成分
[00:23:07.600 --> 00:23:08.600]  好 一起來看一下
[00:23:08.600 --> 00:23:10.600]  第一檔看00702
[00:23:10.600 --> 00:23:11.600]  它去年是負2.4
[00:23:11.600 --> 00:23:13.600]  其實表現的並不是很突出
[00:23:13.600 --> 00:23:16.600]  但是今年以來表現反而是最突出的
[00:23:16.600 --> 00:23:17.600]  為什麼呢
[00:23:17.600 --> 00:23:18.600]  你看它成分
[00:23:18.600 --> 00:23:19.600]  都不是你熟悉的
[00:23:19.600 --> 00:23:21.600]  什麼verizon
[00:23:21.600 --> 00:23:22.600]  咖啡食品
[00:23:22.600 --> 00:23:23.600]  灰蕊
[00:23:23.600 --> 00:23:25.600]  好不動產公司
[00:23:25.600 --> 00:23:27.600]  所以你會發現到說
[00:23:27.600 --> 00:23:28.600]  我們剛講
[00:23:28.600 --> 00:23:29.600]  現在資金在美股裡面
[00:23:29.600 --> 00:23:31.600]  有流向就一些名聲消費了
[00:23:31.600 --> 00:23:32.600]  反而科技股的部分
[00:23:32.600 --> 00:23:35.600]  在這個部分在震盪打底
[00:23:35.600 --> 00:23:36.600]  還在主底
[00:23:36.600 --> 00:23:37.600]  所以如果你只有
[00:23:37.600 --> 00:23:38.600]  很多那種科技股的話
[00:23:38.600 --> 00:23:40.600]  不見得表現會比較好
[00:23:40.600 --> 00:23:42.600]  所以你會看00702反而
[00:23:42.600 --> 00:23:43.600]  比較突出
[00:23:43.600 --> 00:23:45.600]  就是說資金有流向這個部分
[00:23:45.600 --> 00:23:46.600]  那第二塊來講話
[00:23:46.600 --> 00:23:48.600]  如果以去年
[00:23:48.600 --> 00:23:50.600]  2025年的話
[00:23:50.600 --> 00:23:51.600]  是大型股
[00:23:51.600 --> 00:23:53.600]  而且是大部分的華爾街
[00:23:53.600 --> 00:23:55.600]  大家都加碼的這些所謂的標普500
[00:23:55.600 --> 00:23:57.600]  我們以00924是去年
[00:23:57.600 --> 00:23:59.600]  這些美國大型股裡面表現
[00:23:59.600 --> 00:24:00.600]  是比較好的
[00:24:00.600 --> 00:24:01.600]  來看的話
[00:24:01.600 --> 00:24:03.600]  就是我們剛剛講的
[00:24:03.600 --> 00:24:05.600]  背來的布局的那些公司
[00:24:05.600 --> 00:24:07.600]  你看回答微軟蘋果
[00:24:07.600 --> 00:24:10.600]  Mata Amazon理來
[00:24:10.600 --> 00:24:12.600]  大概就是這些個股
