# 逐字稿 - moneyline_20260206_part2
# 來源網址: https://www.youtube.com/watch?v=c_z9nnTywes
# 轉換日期: 2026-02-07 14:06:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.960]  我們剛剛錄節目一開始的時候
[00:12:28.520 --> 00:12:29.960]  還有縮表
[00:12:29.960 --> 00:12:31.920]  所以對股市是不好的
[00:12:31.920 --> 00:12:34.040]  結果從一個禮拜前到現在
[00:12:34.040 --> 00:12:35.920]  其實市場都在反應這些事情
[00:12:35.920 --> 00:12:37.120]  你看那個比特幣的走勢
[00:12:37.120 --> 00:12:38.920]  更明顯你看比特幣
[00:12:38.920 --> 00:12:40.520]  比特幣其實就是
[00:12:40.520 --> 00:12:43.680]  你可以把它當作是流動性的溫度計
[00:12:43.680 --> 00:12:46.680]  就是說如果金融市場的流動性很寬鬆
[00:12:46.680 --> 00:12:47.560]  那比特幣會大漲
[00:12:47.560 --> 00:12:48.600]  相反的
[00:12:48.600 --> 00:12:50.440]  很緊說流動比特幣
[00:12:50.440 --> 00:12:51.600]  比特幣真的是崩盤
[00:12:51.600 --> 00:12:53.560]  10萬到現在6萬
[00:12:53.560 --> 00:12:55.400]  所以非常的慘
[00:12:55.400 --> 00:12:57.440]  所以大家知道就這個華許
[00:12:57.440 --> 00:12:59.680]  大家要知道他可能造成的影響
[00:12:59.680 --> 00:13:02.600]  好 那既然流動性會縮緊
[00:13:02.600 --> 00:13:04.440]  那美元應該要走點嗎
[00:13:04.440 --> 00:13:05.280]  不會
[00:13:05.280 --> 00:13:07.080]  美元可能要走升
[00:13:07.080 --> 00:13:08.280]  所以最近的美元指數
[00:13:08.280 --> 00:13:10.120]  我們看一下美元指數的表現
[00:13:10.120 --> 00:13:12.040]  其實可能比大家意外的
[00:13:12.040 --> 00:13:13.120]  你看
[00:13:13.120 --> 00:13:14.920]  是不是跟華許有關
[00:13:14.920 --> 00:13:17.800]  所以華許上來美元指數反正往上談
[00:13:17.800 --> 00:13:20.360]  所以過去我們講美元
[00:13:20.360 --> 00:13:22.360]  川普喜歡若美元
[00:13:22.360 --> 00:13:24.560]  什麼什麼大家看帥美元
[00:13:24.560 --> 00:13:26.120]  可能這件事情要剛好點倒過來
[00:13:26.120 --> 00:13:27.880]  因為新的這個聯準會主席
[00:13:27.880 --> 00:13:29.800]  我覺得他是強力的
[00:13:29.800 --> 00:13:31.520]  美元霸權的捍衛者
[00:13:31.520 --> 00:13:32.680]  那再來
[00:13:32.680 --> 00:13:34.280]  所以這個我一答問好
[00:13:34.280 --> 00:13:36.080]  那我就多做解釋
[00:13:36.080 --> 00:13:37.440]  然後再來講歐洲跟印度
[00:13:37.440 --> 00:13:38.920]  他說歐洲跟印度的表現
[00:13:38.920 --> 00:13:41.360]  可能會超預期作為認同
[00:13:41.360 --> 00:13:42.640]  這國認同
[00:13:42.640 --> 00:13:44.360]  歐洲我們來看一下德國好了
[00:13:44.360 --> 00:13:45.360]  這個很明顯
[00:13:45.360 --> 00:13:47.440]  這個趨勢都是往上
[00:13:47.440 --> 00:13:47.960]  對吧
[00:13:47.960 --> 00:13:49.120]  這裡還創新高
[00:13:49.120 --> 00:13:50.520]  所以我覺得德國股市
[00:13:50.520 --> 00:13:52.120]  雖然你看他的經濟不惜
[00:13:52.120 --> 00:13:53.640]  在股市表現不錯
[00:13:53.640 --> 00:13:55.280]  印度也是啊 印度
[00:13:55.280 --> 00:13:56.720]  印度我覺得畢竟來講
[00:13:56.720 --> 00:13:59.240]  他是一個十四億人口
[00:13:59.240 --> 00:14:00.600]  這麼大的一個市場
[00:14:00.600 --> 00:14:02.480]  所以你看他的股股市
[00:14:02.480 --> 00:14:04.040]  而且他的股市裡面
[00:14:04.040 --> 00:14:05.840]  這個大部分的成分股
[00:14:05.840 --> 00:14:06.640]  都是內需
[00:14:06.640 --> 00:14:07.120]  我問
[00:14:07.120 --> 00:14:10.480]  如果他們預期歐洲跟印度的表現
[00:14:10.480 --> 00:14:11.720]  會超乎預期
[00:14:11.720 --> 00:14:14.960]  這是因為排擠掉美國股市的資金嗎
[00:14:14.960 --> 00:14:17.120]  會有一個排擠的作用嗎
[00:14:17.120 --> 00:14:18.720]  我覺得是有這樣的狀況
[00:14:18.720 --> 00:14:20.360]  就是說美國股市
[00:14:20.360 --> 00:14:23.760]  不是這麼的民人
[00:14:23.760 --> 00:14:24.760]  資金會外逃
[00:14:24.760 --> 00:14:26.400]  或者是回到原來的國家
[00:14:26.400 --> 00:14:28.600]  所以像印度這種新興市場
[00:14:28.600 --> 00:14:30.840]  我覺得是會值得侵賴的
[00:14:30.840 --> 00:14:33.760]  然後所以我們來提這個銅礦股
[00:14:33.760 --> 00:14:35.000]  為什麼不講銅礦股呢
[00:14:35.000 --> 00:14:37.200]  因為最近啊 銅礦股漲很多
[00:14:37.200 --> 00:14:38.200]  我們看一下
[00:14:38.200 --> 00:14:41.240]  我剛才講的一個FcX這家公司
[00:14:41.240 --> 00:14:43.840]  它是全世界最大的銅礦公司
[00:14:43.840 --> 00:14:47.080]  它的礦原地在那裡的南美洲
[00:14:47.080 --> 00:14:49.280]  印尼啦 礦廠在那邊
[00:14:49.280 --> 00:14:50.320]  那這家公司
[00:14:50.320 --> 00:14:51.840]  你看他最近的股價飆漲
[00:14:51.840 --> 00:14:53.880]  一月這不過就一個月的時間了
[00:14:53.880 --> 00:14:55.760]  對 大家這個飆漲的原因
[00:14:55.760 --> 00:14:58.800]  當然就是說最近的金 銀 銅 都大漲
[00:14:58.800 --> 00:15:00.000]  對 沒沒有錯
[00:15:00.000 --> 00:15:01.600]  但是我們要講就是說
[00:15:01.600 --> 00:15:04.040]  當他股價大漲到69塊的時候
[00:15:04.040 --> 00:15:05.040]  其實大家就要小心了
[00:15:05.040 --> 00:15:07.400]  因為一般來講這種礦業股
[00:15:07.400 --> 00:15:10.200]  本意比大概十倍到二十倍
[00:15:10.200 --> 00:15:12.880]  可是呢 這一家公司
[00:15:12.880 --> 00:15:15.680]  目前的本意比已經到42倍
[00:15:15.680 --> 00:15:17.000]  所以它的意思就是說
[00:15:17.000 --> 00:15:19.600]  大家要小心 我回到四卡
[00:15:19.600 --> 00:15:21.720]  所以它就是說這些銅礦股
[00:15:21.720 --> 00:15:23.720]  反而可能在今年會表現低明
[00:15:23.720 --> 00:15:25.880]  因為漲起來了 機器變高了
[00:15:25.880 --> 00:15:28.160]  那它的意思就是說過度擁擠
[00:15:28.160 --> 00:15:29.120]  本意比已經極端
[00:15:29.120 --> 00:15:30.720]  我說已經到42倍了
[00:15:30.720 --> 00:15:33.320]  然後中國的轉向消費或材料提台
[00:15:33.320 --> 00:15:34.480]  它的意思就是說
[00:15:34.480 --> 00:15:35.720]  我們知道銅啊
[00:15:35.720 --> 00:15:37.960]  很多的使用量是用在電動車
[00:15:37.960 --> 00:15:40.320]  那中國是電動車的製造網國 對吧
[00:15:40.320 --> 00:15:42.800]  那它的意思說如果中國接
[00:15:42.800 --> 00:15:45.520]  因為電動車在中國現在競爭非常激烈
[00:15:45.520 --> 00:15:47.480]  很多企業可能也撐不下去
[00:15:47.480 --> 00:15:48.640]  如果開檢查
[00:15:48.640 --> 00:15:49.800]  然後中國的經濟政策
[00:15:49.800 --> 00:15:51.560]  從外銷轉成內需的話
[00:15:51.560 --> 00:15:53.520]  就不太需要用到這麼多的銅
[00:15:53.520 --> 00:15:54.320]  它意思是這樣
[00:15:54.320 --> 00:15:55.600]  所以這個就是小心
[00:15:55.600 --> 00:15:57.320]  這個是瑞瑩講的十大意外
[00:15:57.320 --> 00:15:59.640]  有的有道理 我覺得有道理
[00:15:59.640 --> 00:16:00.960]  我也講三沒道理
[00:16:00.960 --> 00:16:02.200]  我也會提出我的看法
[00:16:02.200 --> 00:16:04.040]  那下個階段我們再聊一聊
[00:16:04.040 --> 00:16:06.280]  最新的狀況就是全球股市的
[00:16:06.280 --> 00:16:06.880]  最新動向
[00:16:06.880 --> 00:16:09.040]  好 這是瑞瑩提出的
[00:16:09.040 --> 00:16:10.400]  陳老師提出他的邏輯
[00:16:10.400 --> 00:16:11.440]  我覺得這也給大家
[00:16:11.440 --> 00:16:13.000]  一提一些思考的空間
[00:16:13.000 --> 00:16:14.200]  大家也用自己的邏輯
[00:16:14.200 --> 00:16:15.760]  所以他看你認不認同
[00:16:15.760 --> 00:16:17.000]  但是回到第一頁
[00:16:17.000 --> 00:16:18.800]  第一個瑞瑩就講說
[00:16:18.800 --> 00:16:20.000]  接下來他們覺得
[00:16:20.000 --> 00:16:22.960]  美國股市會先鋒漲後大跌
[00:16:22.960 --> 00:16:25.280]  陳老師說他不認為
[00:16:25.280 --> 00:16:27.600]  那陳老師的思維是什麼
[00:16:27.600 --> 00:16:28.800]  台股他要怎麼看
[00:16:28.800 --> 00:16:30.760]  休息一下 馬上回來
[00:16:30.760 --> 00:16:33.240]  剛瑞瑩提出二零二六點十大意外
[00:16:33.240 --> 00:16:35.520]  第一個他們認為美國股市會先鋒漲
[00:16:35.520 --> 00:16:36.720]  然後再跌
[00:16:36.720 --> 00:16:38.520]  而且他形容的是崩跌
[00:16:38.520 --> 00:16:40.120]  中老師你說你可能不認同
[00:16:40.120 --> 00:16:41.240]  你的想法可能到過來
[00:16:41.240 --> 00:16:43.120]  為什麼怎麼看今年台股
[00:16:43.120 --> 00:16:44.960]  我先講這個美國有一個
[00:16:44.960 --> 00:16:47.600]  很有名的分析師叫湯麗
[00:16:47.600 --> 00:16:49.760]  湯麗的看法剛好跟他點到
[00:16:49.760 --> 00:16:52.520]  湯麗是說今年可能先跌二十爬
[00:16:52.520 --> 00:16:53.320]  然後再大漲
[00:16:53.320 --> 00:16:54.400]  湯麗過去很看到
[00:16:54.400 --> 00:16:55.960]  過去都是多頭總司令
[00:16:55.960 --> 00:16:57.400]  所以大家參考一下
[00:16:57.400 --> 00:16:59.480]  因為湯麗過去都多頭總司令
[00:16:59.480 --> 00:17:01.680]  可是他現在先看跌二十爬
[00:17:01.680 --> 00:17:03.000]  再往上創新高
[00:17:03.000 --> 00:17:03.840]  這是他的看法
[00:17:03.840 --> 00:17:05.600]  那我現在講我的看法
[00:17:05.600 --> 00:17:06.840]  我還是講一下滑雪
[00:17:06.840 --> 00:17:08.320]  滑雪最重要
[00:17:08.320 --> 00:17:09.440]  就是過去這一個禮拜
[00:17:09.440 --> 00:17:10.720]  其實都是滑雪交易
[00:17:10.720 --> 00:17:12.560]  雖然滑雪被提名了以後
[00:17:12.560 --> 00:17:14.560]  他沒有出來講半句話
[00:17:14.560 --> 00:17:16.160]  沒有出來講反而可怕
[00:17:16.160 --> 00:17:17.400]  因為大家會覺得
[00:17:17.400 --> 00:17:18.480]  這個聯準會主席
[00:17:18.480 --> 00:17:20.680]  跟以前我們接觸的都不太一樣
[00:17:20.680 --> 00:17:21.600]  以前聯準會主席
[00:17:21.600 --> 00:17:24.040]  就是不斷地跟你溝通
[00:17:24.040 --> 00:17:25.920]  就算今天暴委不出來跟你溝通
[00:17:25.920 --> 00:17:27.360]  他底下的那一堆十幾個
[00:17:27.360 --> 00:17:29.880]  委員也會動不動就出來
[00:17:29.880 --> 00:17:31.160]  在媒體上放話
[00:17:31.160 --> 00:17:31.960]  可是我相信
[00:17:31.960 --> 00:17:34.080]  這新的滑雪
[00:17:34.080 --> 00:17:35.320]  第一個我以前
[00:17:35.320 --> 00:17:36.880]  上禮拜我描述過他
[00:17:36.880 --> 00:17:37.840]  他很傳統
[00:17:37.840 --> 00:17:40.040]  他是傳統的貨幣學派
[00:17:40.040 --> 00:17:41.680]  什麼叫做傳統的貨幣學派
[00:17:41.680 --> 00:17:43.560]  也就是說以前經濟學上面
[00:17:43.560 --> 00:17:46.040]  講什麼東西他會照著做的
[00:17:46.040 --> 00:17:49.080]  因為過去這段時間
[00:17:49.080 --> 00:17:51.760]  流行一個新的理論叫MMT
[00:17:51.760 --> 00:17:53.200]  叫現代經濟學理論
[00:17:53.200 --> 00:17:54.000]  什麼意思
[00:17:54.000 --> 00:17:54.920]  現代經濟學
[00:17:54.920 --> 00:17:57.280]  就代表以前你們那些叫傳統經濟學
[00:17:57.280 --> 00:17:58.520]  什麼凱恩時主義
[00:17:58.520 --> 00:17:59.520]  那叫傳統經濟學
[00:17:59.520 --> 00:18:02.000]  現代經濟學理論就是說
[00:18:02.000 --> 00:18:03.760]  政府如果缺錢用
[00:18:03.760 --> 00:18:06.320]  那我就發行公債
[00:18:06.320 --> 00:18:07.800]  那發公債
[00:18:07.800 --> 00:18:09.440]  如果沒人買怎麼辦
[00:18:09.440 --> 00:18:11.240]  央行啟動因超級去買
[00:18:11.240 --> 00:18:12.680]  這叫現代經濟學理論
[00:18:12.680 --> 00:18:15.080]  就是說財政部發險
[00:18:15.080 --> 00:18:16.560]  財政部發公債
[00:18:16.560 --> 00:18:17.320]  發公債
[00:18:17.320 --> 00:18:18.560]  公債誰來買呢
[00:18:18.560 --> 00:18:20.080]  聯準會來買
[00:18:20.080 --> 00:18:21.560]  這叫現代經濟學理論
[00:18:21.560 --> 00:18:22.680]  你看日本不就是這樣
[00:18:22.680 --> 00:18:23.600]  日本以前不就是這樣
[00:18:23.600 --> 00:18:25.480]  只是現代的日本不想幹這件事情
[00:18:25.480 --> 00:18:26.720]  但以前的日本就是這樣
[00:18:26.720 --> 00:18:28.520]  日本發公債
[00:18:28.520 --> 00:18:29.480]  財政部發政公債
[00:18:29.480 --> 00:18:32.360]  然後日本央行就來買
[00:18:32.360 --> 00:18:34.280]  那只要有一件事情
[00:18:34.280 --> 00:18:34.920]  沒有發生
[00:18:34.920 --> 00:18:36.480]  那就可以繼續幹
[00:18:36.480 --> 00:18:37.600]  繼續做下去
[00:18:37.600 --> 00:18:38.320]  哪一件事情呢
[00:18:38.320 --> 00:18:39.360]  通過膨脹
[00:18:39.360 --> 00:18:40.840]  只要通過膨脹沒有標高
[00:18:40.840 --> 00:18:42.240]  這件事情就可以一直賺
[00:18:42.240 --> 00:18:44.400]  賺到有一天通過膨脹標高為止
[00:18:44.400 --> 00:18:45.160]  通過膨脹標高
[00:18:45.160 --> 00:18:46.960]  就代表這個溫度過高了
[00:18:46.960 --> 00:18:48.400]  那這個叫MMT
[00:18:48.400 --> 00:18:49.440]  那這個滑雪
[00:18:49.440 --> 00:18:51.680]  絕對不是MMT的擁護者
[00:18:51.680 --> 00:18:52.400]  相反的
[00:18:52.400 --> 00:18:55.320]  它是MMT的最大的批判者
[00:18:55.320 --> 00:18:59.280]  MMT就是我該講的量化寬鬆QE
[00:18:59.280 --> 00:19:00.080]  為什麼這樣講呢
[00:19:00.080 --> 00:19:02.240]  因為滑雪在10年前
[00:19:02.240 --> 00:19:05.440]  那時候連索會主席還是博蘭克的時候
[00:19:05.440 --> 00:19:06.560]  博蘭克那個時候
[00:19:06.560 --> 00:19:09.200]  為了要挽救2080年的金鐘海孝
[00:19:09.200 --> 00:19:10.800]  所以他推出了QE1
[00:19:10.800 --> 00:19:12.440]  可是QE1推了以後
[00:19:12.440 --> 00:19:14.760]  開始要做QE2的時候
[00:19:14.760 --> 00:19:16.480]  滑雪就跳出來反對了
[00:19:16.480 --> 00:19:18.520]  在膨脹雜誌都找到他的言論
[00:19:18.520 --> 00:19:19.600]  好 那
[00:19:19.600 --> 00:19:21.240]  現在的連索會的資產負來表
[00:19:21.240 --> 00:19:23.560]  大概是6.6兆
[00:19:23.560 --> 00:19:25.840]  從他的眼中大概6.6兆
[00:19:25.840 --> 00:19:26.880]  都非常高
[00:19:26.880 --> 00:19:30.520]  那未來假設變成3.6兆
[00:19:30.520 --> 00:19:31.560]  那就是要縮表
[00:19:31.560 --> 00:19:33.120]  那就是要QT
[00:19:33.120 --> 00:19:34.160]  那QT的話呢
[00:19:34.160 --> 00:19:35.360]  對金鐘市長來講
[00:19:35.360 --> 00:19:36.000]  沒有錯
[00:19:36.000 --> 00:19:37.840]  也許利率是往下降
[00:19:37.840 --> 00:19:41.240]  利率按照川普的意志往下降
[00:19:41.240 --> 00:19:43.440]  但是我QT這件事情
[00:19:43.440 --> 00:19:45.280]  會讓金鐘市長的錢說說想
[00:19:45.280 --> 00:19:46.920]  這就我想流動性說緊
[00:19:46.920 --> 00:19:48.800]  流動性說緊待會兒完蛋
[00:19:48.800 --> 00:19:50.440]  尤其我講了比特幣
[00:19:50.440 --> 00:19:51.960]  黃金白銀股市
[00:19:51.960 --> 00:19:53.760]  其實都是跟流動性有關
[00:19:53.760 --> 00:19:55.960]  所以你看最近貴金屬蒙滅回答
[00:19:55.960 --> 00:19:56.960]  我們來看到白銀
[00:19:56.960 --> 00:19:58.760]  一天可以跌到30幾%
[00:19:58.760 --> 00:20:00.760]  一般來講貴金屬是要替代美元的
[00:20:00.760 --> 00:20:01.360]  對吧
[00:20:01.360 --> 00:20:03.560]  那我該不是給你看美元指數強升的
[00:20:03.560 --> 00:20:05.000]  所以美元指數強升的基本上
[00:20:05.000 --> 00:20:08.400]  貴金屬這種替代效果就沒有了
[00:20:08.400 --> 00:20:09.480]  第二個就是說
[00:20:09.480 --> 00:20:11.200]  如果未來會有通膨
[00:20:11.200 --> 00:20:12.040]  對
[00:20:12.040 --> 00:20:13.520]  這個地方當然
[00:20:13.520 --> 00:20:15.680]  你說通膨買貴金屬很好
[00:20:15.680 --> 00:20:17.280]  但是如果利率走高的話
[00:20:17.280 --> 00:20:18.440]  對貴金屬是不好
[00:20:18.440 --> 00:20:20.320]  其實未來有很多很多的變數
[00:20:20.320 --> 00:20:22.280]  還有一個最重要的就是太瘋狂
[00:20:22.280 --> 00:20:23.120]  這才最重要的
[00:20:23.120 --> 00:20:24.120]  金價我也看一下
[00:20:24.120 --> 00:20:26.360]  因為上禮拜銀價在瘋的時候
[00:20:26.360 --> 00:20:27.920]  金價也在跌
[00:20:27.920 --> 00:20:29.920]  今天黃金也一度的往下
[00:20:29.920 --> 00:20:30.760]  現在拉一個下點
[00:20:30.760 --> 00:20:31.600]  不管再怎麼樣
[00:20:31.600 --> 00:20:33.560]  黃金畢竟央行會買
[00:20:33.560 --> 00:20:33.880]  是
[00:20:33.880 --> 00:20:35.320]  但白銀央行不會買
[00:20:35.320 --> 00:20:37.760]  所以大家還是要知道這兩個的
[00:20:37.760 --> 00:20:38.360]  俗性的時候
[00:20:38.360 --> 00:20:40.200]  所以剛剛瑞銀提那個時代意外
[00:20:40.200 --> 00:20:42.200]  通膨可能不會像過去這樣標講
[00:20:42.200 --> 00:20:43.320]  其實大家要放在心上
[00:20:43.320 --> 00:20:44.000]  大家要放在心上
[00:20:44.000 --> 00:20:45.640]  因為通膨你還是要不要
[00:20:45.640 --> 00:20:46.960]  把它當作是貴金屬
[00:20:46.960 --> 00:20:48.480]  同還是基本上工業用途
[00:20:48.480 --> 00:20:49.880]  它是工業之母
[00:20:49.880 --> 00:20:50.960]  那加密貨幣其實
[00:20:50.960 --> 00:20:52.120]  提到後上我還已經講過了
[00:20:52.120 --> 00:20:52.640]  好
[00:20:52.640 --> 00:20:53.440]  再來我們兩第二點
[00:20:53.440 --> 00:20:55.480]  就是該做一開始在問的
[00:20:55.480 --> 00:20:57.080]  我這個是我昨天做的
[00:20:57.080 --> 00:21:00.040]  美軍集結波斯灣建築伊朗
[00:21:00.040 --> 00:21:01.240]  我的意思就是說
[00:21:01.240 --> 00:21:04.160]  這一仗可能非打不可
[00:21:04.160 --> 00:21:04.960]  畢竟來講
[00:21:04.960 --> 00:21:06.760]  您看上一次去年
[00:21:06.760 --> 00:21:09.320]  去年美國是怎麼對付伊朗的
[00:21:09.320 --> 00:21:10.720]  派轟炸機
[00:21:10.720 --> 00:21:11.840]  遠程降飛
[00:21:11.840 --> 00:21:13.720]  飛了幾千公里上萬里以後
[00:21:13.720 --> 00:21:15.040]  炸了以後就回來了
[00:21:15.040 --> 00:21:16.720]  以前是這樣子
[00:21:16.720 --> 00:21:17.800]  很省錢
[00:21:17.800 --> 00:21:19.000]  美國有花很多軍飛嗎
[00:21:19.000 --> 00:21:20.520]  沒有就幾顆炸彈
[00:21:20.520 --> 00:21:22.520]  然後飛機的油錢就好
[00:21:22.520 --> 00:21:23.040]  這一次不是
[00:21:23.040 --> 00:21:24.040]  是整個航空母艦
[00:21:24.040 --> 00:21:25.760]  整個艦隊都開過去
[00:21:25.760 --> 00:21:26.560]  停留在波斯灣
[00:21:26.560 --> 00:21:28.680]  每停一天軍飛就要多少
[00:21:28.680 --> 00:21:29.920]  我們都知道大軍
[00:21:29.920 --> 00:21:31.560]  為動兩朝先行
[00:21:31.560 --> 00:21:33.000]  軍飛花了那麼多
[00:21:33.000 --> 00:21:33.920]  代表一件事情
[00:21:33.920 --> 00:21:35.920]  他絕對不會無功而反
[00:21:35.920 --> 00:21:37.360]  他一定會據錯一些事情
[00:21:37.360 --> 00:21:38.320]  所以在呼應到
[00:21:38.320 --> 00:21:39.800]  剛剛您開講的
[00:21:39.800 --> 00:21:40.800]  美國的大使館
[00:21:40.800 --> 00:21:43.560]  已經在鼓勵美國人民要趕快走
[00:21:43.560 --> 00:21:44.520]  因為你要知道
[00:21:44.520 --> 00:21:46.160]  如果真的要發生戰爭的話
[00:21:46.160 --> 00:21:47.680]  我反而要有時間讓你撤退
[00:21:47.680 --> 00:21:49.280]  所以我反而覺得
[00:21:49.280 --> 00:21:50.680]  現在案兵不動
[00:21:50.680 --> 00:21:51.480]  反而是有一點
[00:21:51.480 --> 00:21:52.680]  爆風雨前的凌晴
[00:21:52.680 --> 00:21:53.760]  好 大家要小心
[00:21:53.760 --> 00:21:54.560]  因為如果真的
[00:21:54.560 --> 00:21:55.960]  這個中東火藥庫爆了
[00:21:55.960 --> 00:21:57.760]  而且對象是遺朗的話
[00:21:57.760 --> 00:21:59.800]  那不是小KC
[00:21:59.800 --> 00:22:01.960]  不是像以前什麼以色列打藝
[00:22:01.960 --> 00:22:03.320]  因為以前以色列打藝朗
[00:22:03.320 --> 00:22:05.360]  他們之間沒有領土的接染
[00:22:05.360 --> 00:22:07.160]  所以都是飛彈來飛彈去
[00:22:07.160 --> 00:22:07.960]  可是我覺得這一次
[00:22:07.960 --> 00:22:09.320]  美軍是直接波斯灣
[00:22:09.320 --> 00:22:11.000]  艦隊停留在那邊
[00:22:11.000 --> 00:22:12.960]  我覺得什麼
[00:22:12.960 --> 00:22:15.200]  到時候又什麼又封鎖波斯灣
[00:22:15.200 --> 00:22:16.680]  什麼河河河河河河河海峽了
[00:22:16.680 --> 00:22:18.480]  這些東西又要一次拿出來講
[00:22:18.480 --> 00:22:20.840]  然後油價最重要是油價又要飆高
[00:22:20.840 --> 00:22:22.400]  那我們剛才已經看到原油的價格
[00:22:22.400 --> 00:22:24.600]  原油價格的手勢已經在
[00:22:24.600 --> 00:22:25.600]  已經在漲了
[00:22:25.600 --> 00:22:27.400]  最近從這個一個月裡面
[00:22:27.400 --> 00:22:29.160]  大概已經漲了快十塊美元了
[00:22:29.160 --> 00:22:30.360]  那未來如果再漲的話
[00:22:30.360 --> 00:22:32.240]  對通膨來講會升溫
[00:22:32.240 --> 00:22:33.920]  所以我說我之後講通膨
[00:22:33.920 --> 00:22:34.980]  升溫有很多方式
[00:22:34.980 --> 00:22:36.400]  氣不是我剛才講
[00:22:36.400 --> 00:22:37.960]  不是瑞瑩講的那個方式
[00:22:37.960 --> 00:22:39.240]  好 再來
[00:22:39.240 --> 00:22:41.920]  這就該自領講的SARS這個軟體服
[00:22:41.920 --> 00:22:45.040]  最近這個軟體服務被打得很慘
[00:22:45.040 --> 00:22:46.360]  主要原因是很簡單
[00:22:46.360 --> 00:22:49.120]  就是說以前Ai對我們來講
[00:22:49.120 --> 00:22:51.720]  它就是輔助工具
[00:22:51.720 --> 00:22:52.960]  就是我用了AI
[00:22:52.960 --> 00:22:55.080]  我可以加速我的工作效率
[00:22:55.080 --> 00:22:56.480]  對吧 現在不是
[00:22:56.480 --> 00:22:59.240]  現在是AI直接把你取代掉
[00:22:59.240 --> 00:23:02.160]  譬如說我是一家軟體公司
[00:23:02.160 --> 00:23:03.760]  我本來有請10個
[00:23:03.760 --> 00:23:06.240]  10名的這個工程師
[00:23:06.240 --> 00:23:08.920]  現在假設剩下兩名就好了
[00:23:08.920 --> 00:23:10.480]  其他的八名是什麼
[00:23:10.480 --> 00:23:12.480]  直接AI安全就取代了
[00:23:12.480 --> 00:23:13.960]  AI代理就取代了
[00:23:13.960 --> 00:23:15.840]  那這樣子會有什麼樣的壞數呢
[00:23:15.840 --> 00:23:18.400]  因為大家知道這些SARS軟件服務
[00:23:18.400 --> 00:23:20.160]  他們是按人頭抽廢的
[00:23:20.160 --> 00:23:21.480]  一個員工定月
[00:23:21.480 --> 00:23:22.920]  一個月就要繳多少錢
[00:23:22.920 --> 00:23:25.800]  如果10個員工剩兩個
[00:23:25.800 --> 00:23:27.320]  那中午就少八個
[00:23:27.320 --> 00:23:28.160]  沒有人定月了
[00:23:28.160 --> 00:23:30.080]  這是最重要的第二個
[00:23:30.080 --> 00:23:33.880]  既然AI安全就可以從頭幫你處理到完
[00:23:33.880 --> 00:23:36.840]  我就不需要這麼多的SARS軟件公司了
[00:23:36.840 --> 00:23:38.800]  所以大家要知道這裡說
[00:23:38.800 --> 00:23:41.840]  這個本來是輔助
[00:23:41.840 --> 00:23:43.520]  那個時候軟體服務感覺上
[00:23:43.520 --> 00:23:45.320]  好像有一點如虎天音的感覺
[00:23:45.320 --> 00:23:47.560]  那時候軟體公司還曾因為這樣一個大漲
[00:23:47.560 --> 00:23:49.560]  可是現在直接是被取代掉的話
[00:23:49.560 --> 00:23:50.720]  那就不是這樣子
[00:23:50.720 --> 00:23:52.880]  所以最近的這些SARS軟體服務公司
[00:23:52.880 --> 00:23:54.360]  無差別的拋售
[00:23:54.360 --> 00:23:56.480]  真的是無差別很慘
[00:23:56.480 --> 00:23:57.880]  剛才之前我看阿都比
[00:23:57.880 --> 00:23:59.120]  我們看幾家
[00:23:59.120 --> 00:24:00.640]  譬如說看Sales Force
[00:24:00.640 --> 00:24:03.240]  Sales Force 它的一個股價走勢很慘
[00:24:03.240 --> 00:24:05.360]  這一家公司是到窮成分股
[00:24:05.360 --> 00:24:06.840]  它是把時間再搶一點
[00:24:06.840 --> 00:24:08.480]  我看因為Sales Force
[00:24:08.480 --> 00:24:13.880]  這個都是做企業服務軟體的
[00:24:13.880 --> 00:24:14.880]  其實這種軟體
[00:24:14.880 --> 00:24:17.320]  你在工商業裡面用得非常多
[00:24:17.320 --> 00:24:19.160]  那我們來看一下Service Now
[00:24:19.160 --> 00:24:22.920]  Service Now的所以股價跌得更慘
[00:24:22.920 --> 00:24:25.600]  我們看微軟的股價為什麼會跌那麼多
[00:24:25.600 --> 00:24:27.360]  微軟股價會跌那麼多
[00:24:27.360 --> 00:24:30.040]  這一段跟這個SARS軟體有很大的關係
[00:24:30.040 --> 00:24:30.840]  因為我們都知道
[00:24:30.840 --> 00:24:32.560]  我們用的是Office 360
[00:24:32.560 --> 00:24:34.200]  它就是最大的SARS
[00:24:34.200 --> 00:24:36.680]  所以最近微軟的股價走勢大跌
[00:24:36.680 --> 00:24:38.440]  跟這個也有很大的關係
[00:24:38.440 --> 00:24:40.960]  這個SARS的大跌之後還沒玩
[00:24:40.960 --> 00:24:42.160]  如果只是跌這幾家公司
[00:24:42.160 --> 00:24:43.920]  說關我什麼事情
[00:24:43.920 --> 00:24:45.120]  有關為什麼
[00:24:45.120 --> 00:24:48.280]  因為這個會讓失目信貸報了
[00:24:48.280 --> 00:24:50.240]  以前我們講那個失目信貸說
[00:24:50.240 --> 00:24:53.240]  有很多的像那個什麼
[00:24:53.240 --> 00:24:55.440]  New Cloud就新的雲
[00:24:55.440 --> 00:24:58.040]  從那個加密貨幣礦場轉型
