# 逐字稿 - moneyline_20260206_part3
# 來源網址: https://www.youtube.com/watch?v=ANr_5fVfhGc
# 轉換日期: 2026-02-07 14:08:31
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  好 如果您正在看電視的同一時間
[00:12:33.760 --> 00:12:35.040]  然後也講的這個起雄
[00:12:35.040 --> 00:12:37.000]  不說其實建策也是算是
[00:12:37.000 --> 00:12:40.200]  目前切入AI散熱很重要的這個
[00:12:40.200 --> 00:12:42.000]  本意比50幾倍
[00:12:42.000 --> 00:12:43.080]  會不會太貴
[00:12:43.080 --> 00:12:44.360]  他們整個儲蓄
[00:12:44.360 --> 00:12:46.680]  現在都有這樣的一個環境
[00:12:46.680 --> 00:12:47.240]  因為沒辦法
[00:12:47.240 --> 00:12:49.200]  因為確實就是因為他們獲利
[00:12:49.200 --> 00:12:50.160]  維持高成長
[00:12:50.160 --> 00:12:51.840]  自然會導致他本意
[00:12:51.840 --> 00:12:53.040]  維持一直在高
[00:12:53.040 --> 00:12:54.200]  很高的稅子
[00:12:54.200 --> 00:12:55.360]  應該這樣講
[00:12:55.360 --> 00:12:57.440]  所謂高本意比我們怕的是什麼
[00:12:57.440 --> 00:12:59.520]  就是我常舉一個最好的例子
[00:12:59.520 --> 00:13:00.480]  就是台積電
[00:13:00.480 --> 00:13:02.880]  台積電從之前五六百塊
[00:13:02.880 --> 00:13:04.760]  到現在一千八百塊
[00:13:04.760 --> 00:13:05.760]  要記得一件事情
[00:13:05.760 --> 00:13:07.560]  就是他本意比幾乎沒有動
[00:13:07.560 --> 00:13:08.760]  他長了三倍
[00:13:08.760 --> 00:13:10.760]  是因為他獲利增長了三倍
[00:13:10.760 --> 00:13:12.240]  這種如果最後
[00:13:12.240 --> 00:13:14.480]  本意比突然假設我舉個例
[00:13:14.480 --> 00:13:16.640]  台積電本意比來到四十倍了
[00:13:16.640 --> 00:13:17.480]  我覺得跟他這樣講
[00:13:17.480 --> 00:13:18.920]  這個你本來本意比都這樣
[00:13:18.920 --> 00:13:20.040]  突然這樣子
[00:13:20.040 --> 00:13:20.720]  這個就
[00:13:20.720 --> 00:13:22.720]  我就要這個就是有泡沫的危機
[00:13:22.720 --> 00:13:23.720]  但他們常年
[00:13:23.720 --> 00:13:25.920]  如果意志都是維持高等於
[00:13:25.920 --> 00:13:27.560]  對這些相對來講
[00:13:27.560 --> 00:13:29.360]  就是我覺得相對而言這樣子
[00:13:29.360 --> 00:13:30.880]  算是一個比較安全的範疇
[00:13:30.880 --> 00:13:31.720]  OK
[00:13:31.720 --> 00:13:32.720]  我們在往下看
[00:13:32.720 --> 00:13:33.720]  就跟大家講說
[00:13:33.720 --> 00:13:35.320]  星星的部位也可以看一下
[00:13:35.320 --> 00:13:36.320]  今天來講
[00:13:36.320 --> 00:13:38.720]  最後是開始有出現比較明顯的
[00:13:38.720 --> 00:13:39.560]  然後會
[00:13:39.560 --> 00:13:41.120]  但是再回到自考
[00:13:41.120 --> 00:13:42.200]  就跟大家講
[00:13:42.200 --> 00:13:43.920]  大家看到的就是他維持
[00:13:43.920 --> 00:13:45.520]  這個高增長的部分
[00:13:45.520 --> 00:13:48.360]  那星星的弱勢比較不一樣
[00:13:48.360 --> 00:13:50.480]  他就是因為前兩年不好
[00:13:50.480 --> 00:13:51.600]  現在在高度增長
[00:13:51.600 --> 00:13:53.200]  所以他本意比的部分
[00:13:53.200 --> 00:13:54.680]  對比過往確實有
[00:13:54.680 --> 00:13:56.400]  相對比較偏高一點點
[00:13:56.400 --> 00:13:58.160]  但是我覺得趨勢是對的
[00:13:58.160 --> 00:13:59.280]  那我覺得
[00:13:59.280 --> 00:14:01.280]  剛剛再回到走勢圖
[00:14:01.280 --> 00:14:02.200]  我覺得後續來講
[00:14:02.200 --> 00:14:03.440]  比較重要的一個部分
[00:14:03.440 --> 00:14:05.240]  就是要等待他量縮
[00:14:05.240 --> 00:14:08.160]  量能如果辦法縮減到越均量之下
[00:14:08.160 --> 00:14:09.280]  代表這個所謂
[00:14:09.280 --> 00:14:10.280]  會害怕的輸場
[00:14:10.280 --> 00:14:11.440]  我覺得後續場下
[00:14:11.440 --> 00:14:12.600]  還是有往上的空間
[00:14:12.600 --> 00:14:13.560]  非常清楚
[00:14:13.560 --> 00:14:16.240]  謝謝米漢請先回做了過完年之後
[00:14:16.240 --> 00:14:17.440]  這些最近進行
[00:14:17.440 --> 00:14:21.480]  開始配發股息的ETF前要下來了
[00:14:21.480 --> 00:14:23.520]  五百多億會到哪裡去
[00:14:23.520 --> 00:14:25.400]  米漢說可能會到之前
[00:14:25.400 --> 00:14:27.080]  最強的再接下來
[00:14:27.080 --> 00:14:29.440]  再回到這些人氣的ETF
[00:14:29.440 --> 00:14:31.280]  所以誰你可以上車
[00:14:31.280 --> 00:14:33.520]  甚至於這些成分股當中
[00:14:33.520 --> 00:14:35.440]  有一些二刀流
[00:14:35.440 --> 00:14:38.040]  這其中不僅僅是ETF的成分股
[00:14:38.040 --> 00:14:39.920]  他們本身就有投資價值
[00:14:39.920 --> 00:14:40.760]  誰可以上車
[00:14:40.760 --> 00:14:41.800]  提供給你做參考
[00:14:41.800 --> 00:14:42.880]  除此之外
[00:14:42.880 --> 00:14:45.320]  ETF還有一個選股策略
[00:14:45.320 --> 00:14:47.720]  我們要帶您破解川普的盤散
[00:14:47.720 --> 00:14:48.480]  休息一下
[00:14:48.480 --> 00:14:50.280]  壓軸好細胀給治理
[00:14:50.280 --> 00:14:51.800]  接下來要怎麼挑ETF
[00:14:51.800 --> 00:14:53.320]  剛剛米漢交給我們一個思維
[00:14:53.320 --> 00:14:54.880]  就是在之前誰很強
[00:14:54.880 --> 00:14:56.080]  這利息發下來
[00:14:56.080 --> 00:14:57.840]  還有可能強者很強
[00:14:57.840 --> 00:14:59.040]  但是再接下來
[00:14:59.040 --> 00:15:00.640]  我們要看因為今天治理
[00:15:00.640 --> 00:15:02.120]  從前目進行到這邊
[00:15:02.120 --> 00:15:03.640]  不管是潤飲 不管是來
[00:15:03.640 --> 00:15:04.840]  比對於今年的債
[00:15:04.840 --> 00:15:06.640]  看法都相對的比較保守
[00:15:06.640 --> 00:15:08.200]  很多人手中都有債
[00:15:08.200 --> 00:15:10.080]  股債ETF今年
[00:15:10.080 --> 00:15:11.160]  我們要怎麼配置
[00:15:11.160 --> 00:15:12.080]  相對比較安全
[00:15:12.080 --> 00:15:14.520]  對 我認為債娃的春天應該要來了
[00:15:14.520 --> 00:15:15.320]  有機會嗎
[00:15:15.320 --> 00:15:16.240]  在為什麼
[00:15:16.240 --> 00:15:18.440]  為什麼我跟大家講一個底層邏輯
[00:15:18.440 --> 00:15:20.280]  這個底層邏輯有做個比喻
[00:15:20.280 --> 00:15:22.160]  譬如說像台灣有台積電
[00:15:22.160 --> 00:15:23.240]  台股有台積電
[00:15:23.240 --> 00:15:24.800]  那麼大家都知道台積電的
[00:15:24.800 --> 00:15:25.560]  外資的目標
[00:15:25.560 --> 00:15:26.840]  包括他接下來訂單
[00:15:26.840 --> 00:15:28.200]  大家都看2000至上
[00:15:28.200 --> 00:15:30.160]  如果看2000至上是不是代表說
[00:15:30.160 --> 00:15:31.480]  如果台股跌
[00:15:31.480 --> 00:15:33.120]  大盤基本上跌不太深
[00:15:33.120 --> 00:15:34.760]  這就是台股的底層邏輯
[00:15:34.760 --> 00:15:35.840]  我們現在要講的是
[00:15:35.840 --> 00:15:38.720]  美國今年股會在的底層邏輯
[00:15:38.720 --> 00:15:40.360]  他有個底層邏輯會讓
[00:15:40.360 --> 00:15:42.880]  美股或是包括美國的債券
[00:15:42.880 --> 00:15:44.760]  他可能就會像台積電的邏輯
[00:15:44.760 --> 00:15:46.360]  跌可能跌不到哪裡去
[00:15:46.360 --> 00:15:47.560]  我們現在跟大家講說
[00:15:47.560 --> 00:15:49.200]  為什麼我在這裡要跟大家講
[00:15:49.200 --> 00:15:50.600]  股債的一個配置
[00:15:50.600 --> 00:15:52.040]  因為我覺得今年不平靜
[00:15:52.040 --> 00:15:53.160]  主要有三個因素
[00:15:53.160 --> 00:15:54.520]  我們先看第一個因素
[00:15:54.520 --> 00:15:55.160]  第一個因素就是
[00:15:55.160 --> 00:15:57.400]  我們這個禮拜都在跟大家談
[00:15:57.400 --> 00:15:59.560]  這個Kevin Worsh這件事情
[00:15:59.560 --> 00:16:00.960]  那Kevin Worsh第一個
[00:16:00.960 --> 00:16:02.280]  他有個所謂的新主席
[00:16:02.280 --> 00:16:03.560]  上任的一個魔術
[00:16:03.560 --> 00:16:04.800]  我們說換帥魔術
[00:16:04.800 --> 00:16:05.800]  換帥魔術
[00:16:05.800 --> 00:16:08.320]  那換帥魔術就是他上任之後的一個月
[00:16:08.320 --> 00:16:10.320]  其實標普百最大的回測
[00:16:10.320 --> 00:16:13.080]  回測就是指跌最多的一個狀況是5%
[00:16:13.080 --> 00:16:15.760]  那三個月可能最多會跌到12%
[00:16:15.760 --> 00:16:17.680]  那六個月大概就是16%
[00:16:17.680 --> 00:16:19.560]  那這是一個所謂的一個魔術
[00:16:19.560 --> 00:16:20.640]  那這個狀況的話
[00:16:20.640 --> 00:16:21.640]  我們要去想說
[00:16:21.640 --> 00:16:22.960]  為什麼會有這個魔術
[00:16:22.960 --> 00:16:25.200]  還有大家熱烈討論說
[00:16:25.200 --> 00:16:26.800]  華許我個人認為啦
[00:16:26.800 --> 00:16:28.760]  你這時候討論華許
[00:16:28.760 --> 00:16:30.400]  不如去討論一下
[00:16:30.400 --> 00:16:32.160]  誰清點他上來的
[00:16:32.160 --> 00:16:33.920]  因為華許他就是一支
[00:16:33.920 --> 00:16:35.040]  不會講話的音
[00:16:35.040 --> 00:16:36.000]  也不會講話的歌
[00:16:36.000 --> 00:16:37.440]  因為叫做B的嘴巴嘛
[00:16:37.440 --> 00:16:40.440]  但是川普到底今年要他想要做什麼
[00:16:40.440 --> 00:16:42.680]  其實從那個人士的決策
[00:16:42.680 --> 00:16:43.840]  就很清楚
[00:16:43.840 --> 00:16:45.760]  因為現在聯準會
[00:16:45.760 --> 00:16:47.560]  讓華許上來做之後呢
[00:16:47.560 --> 00:16:49.840]  包括美國財政部的這個貝森特
[00:16:49.840 --> 00:16:51.040]  他的一個師傅
[00:16:51.040 --> 00:16:53.600]  都是朱克米的師傅同門
[00:16:53.600 --> 00:16:54.840]  那現在等於就是說
[00:16:54.840 --> 00:16:56.760]  川普把白宮
[00:16:56.760 --> 00:16:58.520]  包括像這個聯準會
[00:16:58.520 --> 00:16:59.920]  還有什麼財政部
[00:16:59.920 --> 00:17:01.360]  他現在變成這個鐵山角
[00:17:01.360 --> 00:17:02.560]  他們要做什麼事情
[00:17:02.560 --> 00:17:03.760]  這個底層邏輯呢
[00:17:03.760 --> 00:17:06.120]  其實就是美國的其中選舉
[00:17:06.120 --> 00:17:08.120]  因為今年要選舉
[00:17:08.120 --> 00:17:10.640]  那他們就是要讓這個這三位
[00:17:10.640 --> 00:17:12.760]  要能夠貫徹川普的意志
[00:17:12.760 --> 00:17:14.080]  那川普意志是什麼
[00:17:14.080 --> 00:17:15.400]  就是讓美國偉大
[00:17:15.400 --> 00:17:17.240]  所以如果說他要讓美國偉大的話
[00:17:17.240 --> 00:17:19.280]  我認為這三個溝通來講的話
[00:17:19.280 --> 00:17:22.320]  他會是今年經濟決策的關鍵因素
[00:17:22.320 --> 00:17:24.120]  所以我才會講說
[00:17:24.120 --> 00:17:25.360]  今年的底層邏輯
[00:17:25.360 --> 00:17:27.000]  其實就是其中選舉
[00:17:27.000 --> 00:17:28.640]  所以我們上次來跟大家報告說
[00:17:28.640 --> 00:17:30.440]  他其中選舉第一次要解決的事情
[00:17:30.440 --> 00:17:31.280]  就是電力
[00:17:31.280 --> 00:17:33.040]  所以電力股不是也噴了一波
[00:17:33.040 --> 00:17:34.920]  那另外我認為接下來很重要
[00:17:34.920 --> 00:17:36.840]  就是三月份開始
[00:17:36.840 --> 00:17:39.480]  根據美國的一個選舉來講的話
[00:17:39.480 --> 00:17:41.200]  通常都是三月要開始造勢
[00:17:41.200 --> 00:17:42.320]  那這次的其中選舉
[00:17:42.320 --> 00:17:43.960]  就是眾議院要全部改選
[00:17:43.960 --> 00:17:45.640]  參議院要選三分之一
[00:17:45.640 --> 00:17:46.800]  那目前來講
[00:17:46.800 --> 00:17:49.160]  都是川普陣營都是過半的
[00:17:49.160 --> 00:17:50.880]  所以你看他推什麼政策
[00:17:50.880 --> 00:17:53.720]  包括像最近這個關稅的事情
[00:17:53.720 --> 00:17:54.720]  他都說我不擔心
[00:17:54.720 --> 00:17:55.000]  為什麼
[00:17:55.000 --> 00:17:56.760]  因為基本上都是他陣營的人
[00:17:56.760 --> 00:17:59.000]  好 那這個時候要跟大家報告說
[00:17:59.000 --> 00:18:01.080]  美國的人民的財富
[00:18:01.080 --> 00:18:02.920]  有大多數都在美元資產
[00:18:02.920 --> 00:18:03.920]  包括股市
[00:18:03.920 --> 00:18:06.080]  所以其實根據過去的統計
[00:18:06.080 --> 00:18:07.040]  股債市的表現
[00:18:07.040 --> 00:18:08.640]  他會直接影響到選情
[00:18:08.640 --> 00:18:09.960]  所以今年的底層邏輯
[00:18:09.960 --> 00:18:13.160]  就是川普要打贏這個其中選舉的話
[00:18:13.160 --> 00:18:15.000]  他不可能讓股市
[00:18:15.000 --> 00:18:17.000]  有特別的難看的表現
[00:18:17.000 --> 00:18:19.440]  那包括再次我覺得也非常重要
[00:18:19.440 --> 00:18:20.400]  那既然是這樣的話
[00:18:20.400 --> 00:18:22.200]  為什麼這個地方要跟大家講說
[00:18:22.200 --> 00:18:23.720]  我覺得有三項因素
[00:18:23.720 --> 00:18:24.600]  在今年的行情
[00:18:24.600 --> 00:18:26.880]  尤其我認為第二季相對會比較危險
[00:18:26.880 --> 00:18:27.760]  第二個因素就是
[00:18:27.760 --> 00:18:30.120]  我覺得今年要做股債配置的原因是
[00:18:30.120 --> 00:18:31.560]  因為其中選舉年
[00:18:31.560 --> 00:18:33.520]  根據法人的研究報告
[00:18:33.520 --> 00:18:36.320]  深設縣市其中選舉年的標普500指數
[00:18:36.320 --> 00:18:37.200]  當年
[00:18:37.200 --> 00:18:40.080]  對 他從1975統計到2024年
[00:18:40.080 --> 00:18:41.720]  就是他把它變成一個指數
[00:18:41.720 --> 00:18:44.160]  那你會發現到進入其中選舉年
[00:18:44.160 --> 00:18:45.360]  其實本來像標普500
[00:18:45.360 --> 00:18:47.640]  還會形成什麼 盤整走勢
[00:18:47.640 --> 00:18:48.880]  選舉在11月
[00:18:48.880 --> 00:18:50.880]  選舉完之後才開始往上
[00:18:50.880 --> 00:18:53.480]  所以代表說今年的股市行情的話
[00:18:53.480 --> 00:18:55.320]  你要期待像過去樣
[00:18:55.320 --> 00:18:57.480]  美股大盆特盆的話不容易
[00:18:57.480 --> 00:18:59.200]  那他可能開始會出現震盪
[00:18:59.200 --> 00:19:01.480]  尤其現在川普的民調是輸的
[00:19:01.480 --> 00:19:02.880]  所以這時候他可能就要去做一些
[00:19:02.880 --> 00:19:03.800]  政策的部分
[00:19:03.800 --> 00:19:04.720]  所以要跟大家講說
[00:19:04.720 --> 00:19:06.680]  這裡為什麼再挖有這個機會
[00:19:06.680 --> 00:19:08.240]  因為最近大家都樂股市
[00:19:08.240 --> 00:19:08.920]  沒有人
[00:19:08.920 --> 00:19:09.840]  剛剛敏翰也講了
[00:19:09.840 --> 00:19:11.520]  沒有人有興趣買再見
[00:19:11.520 --> 00:19:12.520]  但是這時候的話
[00:19:12.520 --> 00:19:13.760]  我覺得再去有這個機會
[00:19:13.760 --> 00:19:15.800]  那另外一個部分的話我認為
[00:19:15.800 --> 00:19:16.840]  在下一張的交易
[00:19:16.840 --> 00:19:17.800]  我們可以看到說
[00:19:17.800 --> 00:19:19.280]  日本跟美國第三個
[00:19:19.280 --> 00:19:21.600]  是我覺得會比較容易震盪的原因
[00:19:21.600 --> 00:19:22.520]  就是這第三個因素
[00:19:22.520 --> 00:19:24.960]  就是日美的這個地差的部分
[00:19:24.960 --> 00:19:26.120]  開始明顯新的收戀
[00:19:26.120 --> 00:19:28.280]  就是我們常常講的套利交易的部分
[00:19:28.280 --> 00:19:29.480]  那我們可以看到說
[00:19:29.480 --> 00:19:30.640]  下面這張圖表
[00:19:30.640 --> 00:19:33.680]  其實是美國基準利率跟日本的基準率率
[00:19:33.680 --> 00:19:34.720]  那過去來講的話
[00:19:34.720 --> 00:19:37.160]  有沒有相對上收戀的這段時間
[00:19:37.160 --> 00:19:38.880]  有19年到20年
[00:19:38.880 --> 00:19:40.480]  那這是美國的基準利率
[00:19:40.480 --> 00:19:42.360]  藍色系日本的利率
[00:19:42.360 --> 00:19:43.840]  那因為日本過去就是領馬
[00:19:43.840 --> 00:19:45.000]  但是最近開始慢慢生了
[00:19:45.000 --> 00:19:46.640]  所以這個就是立差收戀
[00:19:46.640 --> 00:19:48.040]  那立差收戀會造成什麼意思
[00:19:48.040 --> 00:19:50.040]  因為過去就是因為日本的利率
[00:19:50.040 --> 00:19:51.320]  低大去借日元
[00:19:51.320 --> 00:19:52.760]  然後去投資各項的產品
[00:19:52.760 --> 00:19:54.960]  但是立差交易開始收戀的時候
[00:19:54.960 --> 00:19:56.680]  有人就要去賣出一些美國的資產
[00:19:56.680 --> 00:19:57.480]  所以這是我認為
[00:19:57.480 --> 00:19:59.880]  今年也可能會至於震盪了一個原因
[00:19:59.880 --> 00:20:01.080]  那我們可以看到說
[00:20:01.080 --> 00:20:03.480]  19年跟18年那個時候的台北股市
[00:20:03.480 --> 00:20:04.760]  那個整個月限圖
[00:20:04.760 --> 00:20:06.320]  跟剛剛那個其中選舉圖
[00:20:06.320 --> 00:20:07.320]  是一樣的
[00:20:07.320 --> 00:20:09.760]  橫盤整理的幾乎一兩年的時間
[00:20:09.760 --> 00:20:11.360]  就是立差收戀的時候
[00:20:11.360 --> 00:20:13.040]  台股也開始出現很盤
[00:20:13.040 --> 00:20:14.360]  所以要跟大家報告說
[00:20:14.360 --> 00:20:15.880]  今年1月就漲這麼多
[00:20:15.880 --> 00:20:17.120]  所以為什麼我今天要端出
[00:20:17.120 --> 00:20:18.920]  這個所謂一個股債配置
[00:20:18.920 --> 00:20:21.120]  就是說如果說你是比較保守投資朋友
[00:20:21.120 --> 00:20:21.880]  你有債券
[00:20:21.880 --> 00:20:23.000]  我覺得春天會來的原因
[00:20:23.000 --> 00:20:24.040]  在這個地上
[00:20:24.040 --> 00:20:25.480]  所以我們可以看下一張
[00:20:25.480 --> 00:20:27.000]  下一張就是跟大家報告說
[00:20:27.000 --> 00:20:29.480]  為什麼我認為是這個
[00:20:29.480 --> 00:20:30.200]  這個第二季
[00:20:30.200 --> 00:20:31.160]  尤其是4月份
[00:20:31.160 --> 00:20:33.040]  我們可以直接講這個圖表
[00:20:33.040 --> 00:20:34.240]  這個圖表上的資訊的話
[00:20:34.240 --> 00:20:35.320]  我們可以看得很
[00:20:35.320 --> 00:20:38.200]  美元的部分是這個綠色線
[00:20:38.200 --> 00:20:39.160]  那藍色線的話
[00:20:39.160 --> 00:20:40.880]  是美國實驗級國外資率率
[00:20:40.880 --> 00:20:43.120]  那麼TGA賬戶就是
[00:20:43.120 --> 00:20:45.360]  美國財政部的這個現金娛樂
[00:20:45.360 --> 00:20:47.080]  那我認為這個地方來講的話
[00:20:47.080 --> 00:20:48.720]  到第二季大家特別注意
[00:20:48.720 --> 00:20:50.280]  就是因為美國在4月份
[00:20:50.280 --> 00:20:51.640]  是個暴稅的季節
[00:20:51.640 --> 00:20:52.680]  那暴稅是不是人民
[00:20:52.680 --> 00:20:54.760]  就要把一些錢拿去攪稅
[00:20:54.760 --> 00:20:57.240]  所以大家就會吸收一些流動性
[00:20:57.240 --> 00:20:59.760]  那目前美國的TGA賬戶在右上角
[00:20:59.760 --> 00:21:01.240]  因為過去有公告
[00:21:01.240 --> 00:21:03.080]  他們大概是維持一兆
[00:21:03.080 --> 00:21:04.160]  美元的一個現金水位
[00:21:04.160 --> 00:21:06.000]  所以其實現在在這個位置
[00:21:06.000 --> 00:21:07.160]  那這個位置的話
[00:21:07.160 --> 00:21:08.480]  就是要告訴大家說
[00:21:08.480 --> 00:21:09.840]  他現金水位在高的話
[00:21:09.840 --> 00:21:11.240]  代表美國財政部
[00:21:11.240 --> 00:21:12.640]  不會大量地發災
[00:21:12.640 --> 00:21:14.120]  那加上說大家攪稅
[00:21:14.120 --> 00:21:16.120]  所以美國財政部的現金娛樂
[00:21:16.120 --> 00:21:16.960]  也會夠
[00:21:16.960 --> 00:21:18.080]  所以這是要告訴大家說
[00:21:18.080 --> 00:21:20.720]  從現在開始到4月份
[00:21:20.720 --> 00:21:21.920]  這段時間的債券
[00:21:21.920 --> 00:21:23.320]  相對上會有這個機會
[00:21:23.320 --> 00:21:24.800]  加上最近經濟數據不好
[00:21:24.800 --> 00:21:26.080]  直覺也開始下來了
[00:21:26.080 --> 00:21:27.080]  這是要跟大家講說
[00:21:27.080 --> 00:21:28.200]  可以買債原因
[00:21:28.200 --> 00:21:29.960]  那要買債的話要看美元
[00:21:29.960 --> 00:21:31.240]  那美元滑雪這個部分
[00:21:31.240 --> 00:21:32.480]  我就不補充了
[00:21:32.480 --> 00:21:33.320]  因為他已經開始
[00:21:33.320 --> 00:21:35.280]  讓大家對美元資產有信心
[00:21:35.280 --> 00:21:36.680]  你看比特幣的跌
[00:21:36.680 --> 00:21:38.880]  包括一些的一個黃金商品的跌
[00:21:38.880 --> 00:21:41.240]  黃金就是過去為了要取代美元
[00:21:41.240 --> 00:21:42.760]  所以滑雪一上任之後
[00:21:42.760 --> 00:21:43.760]  美元資產有機會
[00:21:43.760 --> 00:21:44.880]  所以你要買債
[00:21:44.880 --> 00:21:46.160]  這時候是個時機
[00:21:46.160 --> 00:21:47.200]  加上美元的部分
[00:21:47.200 --> 00:21:49.200]  會讓不會像有去年那種
[00:21:49.200 --> 00:21:50.520]  會差了一個損失
[00:21:50.520 --> 00:21:52.040]  所以這是要跟大家報告說
[00:21:52.040 --> 00:21:54.240]  美元資產股債的部分
[00:21:54.240 --> 00:21:55.680]  如果錢要留到美國去
[00:21:55.680 --> 00:21:57.320]  是不是也要去買美國一體業縛
[00:21:57.320 --> 00:21:59.880]  那債的部分也是一個原因
[00:21:59.880 --> 00:22:00.640]  就是要告訴大家
[00:22:00.640 --> 00:22:01.600]  這個底層邏輯
[00:22:01.600 --> 00:22:02.440]  今年來講的話
[00:22:02.440 --> 00:22:03.520]  我覺得美元資產
[00:22:03.520 --> 00:22:04.520]  大家不用那麼擔心
[00:22:04.520 --> 00:22:06.240]  好 所以隨著季節
[00:22:06.240 --> 00:22:08.120]  有機會進入春天
[00:22:08.120 --> 00:22:10.080]  這買債的春天也來了
[00:22:10.080 --> 00:22:10.840]  對 買債春天
[00:22:10.840 --> 00:22:11.680]  怎麼買呢
[00:22:11.680 --> 00:22:12.960]  好 那麼我們來看一下
[00:22:12.960 --> 00:22:14.080]  債券的部分
[00:22:14.080 --> 00:22:15.040]  那這裡來講的話
[00:22:15.040 --> 00:22:16.560]  大家就自己去認為
[00:22:16.560 --> 00:22:17.240]  美國經濟
[00:22:17.240 --> 00:22:18.800]  如果你會覺得會摔退的話
[00:22:18.800 --> 00:22:20.760]  那你可以選擇美國的政府站
[00:22:20.760 --> 00:22:22.640]  但是我們目前的經濟數據來看的話
[00:22:22.640 --> 00:22:24.040]  應該是不自己會摔退
[00:22:24.040 --> 00:22:26.680]  因為美國有這個大而沒法案的支出
[00:22:26.680 --> 00:22:28.080]  大概會貢獻美國GDP
[00:22:28.080 --> 00:22:29.400]  大概接近一個百分點
[00:22:29.400 --> 00:22:30.440]  所以我認為在這個地方
[00:22:30.440 --> 00:22:31.480]  如果你要配置的話
[00:22:31.480 --> 00:22:33.400]  先以投資等級的公司在為主
[00:22:33.400 --> 00:22:35.120]  所以你都沒有選美債
[00:22:35.120 --> 00:22:36.640]  對 因為我目前的
[00:22:36.640 --> 00:22:38.040]  一些報告判斷來講的話
[00:22:38.040 --> 00:22:40.520]  今年美國應該不至於會摔退
[00:22:40.520 --> 00:22:42.840]  大概會有2%的GDP的成長
[00:22:42.840 --> 00:22:43.920]  那麼所以這時候
[00:22:43.920 --> 00:22:45.480]  如果我們認為今年的行情
[00:22:45.480 --> 00:22:46.640]  就像我剛剛講的
[00:22:46.640 --> 00:22:48.160]  如果都是上下政壇整理的話
[00:22:48.160 --> 00:22:49.480]  那你又是比較保守的
[00:22:49.480 --> 00:22:51.120]  那你不如就買債券
[00:22:51.120 --> 00:22:52.480]  配息是一個策略
[00:22:52.480 --> 00:22:55.720]  那投等債又比美債的配息率還要高
[00:22:55.720 --> 00:22:56.920]  所以這裡的話我們可以看一下
[00:22:56.920 --> 00:22:59.040]  如果說你是希望美國也有現金流的
[00:22:59.040 --> 00:23:00.560]  零零九三七筆這個權益
[00:23:00.560 --> 00:23:02.320]   ESG 它目前的持率率
[00:23:02.320 --> 00:23:04.080]  就是配息率大概6.7%
[00:23:04.080 --> 00:23:05.720]  其實不會輸給高股息
[00:23:05.720 --> 00:23:07.040]  那它也是規模最大的
[00:23:07.040 --> 00:23:08.520]  而且買債我們要特別注意
[00:23:08.520 --> 00:23:09.560]  責義價的問題
[00:23:09.560 --> 00:23:11.320]  它目前是唯一是責價的
[00:23:11.320 --> 00:23:12.640]  好 那這些都是幫大家
[00:23:12.640 --> 00:23:15.040]  篩選臺灣裡面的這個資產
[00:23:15.040 --> 00:23:17.240]  規模是比較高的這個債券的部分
[00:23:17.240 --> 00:23:18.440]  流動性也比較好
[00:23:18.440 --> 00:23:20.840]  那另外有這個725B、720B
[00:23:20.840 --> 00:23:22.120]  包括像75EB
[00:23:22.120 --> 00:23:23.640]  這些都是屬於計配息的
[00:23:23.640 --> 00:23:25.520]  債券來講其實你其實盡量
[00:23:25.520 --> 00:23:27.000]  放在裡面不要一直配息
[00:23:27.000 --> 00:23:28.960]  是立果率其實是會比較好的
[00:23:28.960 --> 00:23:31.040]  那大家都可以看各自的一個需求
[00:23:31.040 --> 00:23:33.000]  好 另外所以不是美債
[00:23:33.000 --> 00:23:34.760]  是投等債這跟公司債
[00:23:34.760 --> 00:23:36.280]  對 投資等級的公司債
[00:23:36.280 --> 00:23:37.720]  那再來我們就看下一張
[00:23:37.720 --> 00:23:38.880]  如果很多的投資朋友
[00:23:38.880 --> 00:23:40.400]  是現在我不想要說
[00:23:40.400 --> 00:23:41.960]  只有買債太無聊了
[00:23:41.960 --> 00:23:43.080]  那這時候假設
[00:23:43.080 --> 00:23:45.280]  真的第二劑會吸收一些流動性
[00:23:45.280 --> 00:23:47.760]  可能行行不要容易震盪年的話
[00:23:47.760 --> 00:23:49.160]  那麼這時候你可以去選擇
[00:23:49.160 --> 00:23:50.680]  所謂一個比較保守型的
[00:23:50.680 --> 00:23:51.720]  一個ETF
[00:23:51.720 --> 00:23:53.120]  那這邊我們幫大家這個舉例
[00:23:53.120 --> 00:23:55.360]  就是標普500的標準差
[00:23:55.360 --> 00:23:56.240]  標準差的意思
[00:23:56.240 --> 00:23:58.160]  就是越大波動越大
[00:23:58.160 --> 00:23:59.600]  那假設你是比較保守投資朋友
[00:23:59.600 --> 00:24:01.200]  你可以做個股債的搭配
[00:24:01.200 --> 00:24:03.320]  那麼標普是19.2
[00:24:03.320 --> 00:24:06.040]  那差LP這是屬於必需型的消費
[00:24:06.040 --> 00:24:07.240]  這個意思就是說
[00:24:07.240 --> 00:24:10.320]  我們就算口袋在沒錢
[00:24:10.320 --> 00:24:12.520]  我們還是要去買這個日常用品
[00:24:12.520 --> 00:24:14.320]  這就是所謂必需型消費的意思
[00:24:14.320 --> 00:24:16.280]  那公共事業就不用想像電力
