# 逐字稿 - moneyline_20260206_part1
# 來源網址: https://www.youtube.com/watch?v=kkPSkSs4WHg
# 轉換日期: 2026-02-07 14:11:10
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:19.340]  歡迎收看前線百分百觀投晚安 我是劉柱華
[00:12:43.500 --> 00:12:44.200]  一定是內資
[00:12:44.200 --> 00:12:45.100]  所以你看預約線
[00:12:45.100 --> 00:12:46.600]  我們來看到自卡當中
[00:12:46.600 --> 00:12:48.700]  預約線最近支撐就非常強了
[00:12:48.700 --> 00:12:50.400]  對 多頭就首預約線
[00:12:50.400 --> 00:12:51.500]  好 那我要講
[00:12:51.500 --> 00:12:53.400]  就是說這幾天都在消化
[00:12:53.400 --> 00:12:55.000]  所謂長價錢的這個賣壓
[00:12:55.000 --> 00:12:57.000]  我認為指數
[00:12:57.000 --> 00:12:58.300]  真的要震盪完成
[00:12:58.300 --> 00:12:59.300]  要往上再過高
[00:12:59.300 --> 00:13:00.700]  那是年後的事情
[00:13:00.700 --> 00:13:02.300]  這裡你不用想太多
[00:13:02.300 --> 00:13:03.100]  最近就是什麼
[00:13:03.100 --> 00:13:04.500]  餅種跟主力業內
[00:13:04.500 --> 00:13:06.600]  在回收資金
[00:13:06.600 --> 00:13:08.700]  掌多的股票短線確實
[00:13:08.700 --> 00:13:10.200]  壓力很大
[00:13:10.200 --> 00:13:11.200]  你看到剛剛還自保
[00:13:11.200 --> 00:13:13.300]  給大家看了這個禮拜跌幅的派
[00:13:13.300 --> 00:13:15.000]  都是記憶體比較多
[00:13:15.000 --> 00:13:16.300]  這個就代表什麼
[00:13:16.300 --> 00:13:19.200]  人家這些東西
[00:13:19.200 --> 00:13:21.200]  大家都在收回錢
[00:13:21.200 --> 00:13:22.500]  要幹嘛呢
[00:13:22.500 --> 00:13:23.300]  最後一個
[00:13:23.300 --> 00:13:25.200]  就跟大家講
[00:13:25.200 --> 00:13:26.400]  年前
[00:13:26.400 --> 00:13:27.400]  稍微減嘛
[00:13:27.400 --> 00:13:28.700]  不是叫你賣光
[00:13:28.700 --> 00:13:30.100]  但是你要手上流的一些線
[00:13:30.100 --> 00:13:31.000]  比如說你現在
[00:13:31.000 --> 00:13:32.300]  講說你這幾天
[00:13:32.300 --> 00:13:33.800]  持股是蠻擋的
[00:13:33.800 --> 00:13:35.400]  你可能就減個三層
[00:13:35.400 --> 00:13:36.000]  兩層
[00:13:36.000 --> 00:13:38.000]  賣賺錢的還是賣陪錢
[00:13:38.000 --> 00:13:40.000]  你可以賺錢陪錢一起賣
[00:13:40.000 --> 00:13:41.200]  這樣會比較好
[00:13:41.200 --> 00:13:42.400]  你先把錢收
[00:13:42.400 --> 00:13:44.900]  因為如果後面還會再漲
[00:13:44.900 --> 00:13:45.600]  過完年回來
[00:13:45.600 --> 00:13:46.900]  大家重新開始
[00:13:46.900 --> 00:13:48.300]  所以跟昨天前線
[00:13:48.300 --> 00:13:49.500]  專家提醒的一樣
[00:13:49.500 --> 00:13:50.400]  流線機
[00:13:50.400 --> 00:13:52.200]  線級比重拉高一點點
[00:13:52.200 --> 00:13:54.900]  流得清山再不怕沒財燒
[00:13:54.900 --> 00:13:56.700]  但是要賣哪一些
[00:13:56.700 --> 00:13:57.800]  要流哪一些
[00:13:57.800 --> 00:13:58.700]  我們來看到幾趟
[00:13:58.700 --> 00:14:00.400]  今天盤中震盪非常劇烈的
[00:14:00.400 --> 00:14:01.600]  不是跟你幫我解釋一下
[00:14:01.600 --> 00:14:03.300]  手中物有的個字怎麼辦
[00:14:03.300 --> 00:14:06.000]  這是PCB去年長最多的德宏
[00:14:06.000 --> 00:14:07.900]  德宏今天是跌到快要跌停
[00:14:07.900 --> 00:14:09.300]  然後長到快要長停
[00:14:09.300 --> 00:14:11.800]  這一上一下行才能夠弄得掉
[00:14:11.800 --> 00:14:13.500]  同樣PCB的剋橋
[00:14:13.500 --> 00:14:15.000]  今天如初一撤
[00:14:15.000 --> 00:14:16.200]  開滴之後
[00:14:16.200 --> 00:14:17.500]  不要一度的長停
[00:14:17.500 --> 00:14:19.000]  打開收平盤之上
[00:14:19.000 --> 00:14:20.500]  大量也是PCB組織
[00:14:20.500 --> 00:14:21.500]  還有記憶體
[00:14:21.500 --> 00:14:23.500]  記憶體今天長的是立即店
[00:14:23.500 --> 00:14:24.300]  立即店
[00:14:24.300 --> 00:14:26.300]  巴洛克 大家選公寶
[00:14:26.300 --> 00:14:28.000]  哥動起來 等個去購物
[00:14:28.000 --> 00:14:28.900]  又沒有了
[00:14:28.900 --> 00:14:30.700]  今天南亞科政黨也非常大
[00:14:30.700 --> 00:14:32.200]  手中物有這些個股
[00:14:32.200 --> 00:14:34.500]  怎麼報要走還是要流
[00:14:34.500 --> 00:14:36.100]  好 我們先用南亞科這一張
[00:14:36.100 --> 00:14:36.900]  這一段在幹嘛
[00:14:36.900 --> 00:14:39.100]  然後是當衝衝上來的
[00:14:39.100 --> 00:14:41.200]  就當衝衝上來的
[00:14:41.200 --> 00:14:42.500]  就是說
[00:14:42.500 --> 00:14:44.000]  機會記憶體基本面沒問題
[00:14:44.000 --> 00:14:45.500]  要長開那麼低
[00:14:45.500 --> 00:14:46.600]  感覺都快跌停
[00:14:46.600 --> 00:14:47.900]  我當衝衝我進來買
[00:14:47.900 --> 00:14:50.200]  買完我在這邊就全部賣光光
[00:14:50.200 --> 00:14:51.700]  隨後面接手沒有力量
[00:14:51.700 --> 00:14:52.800]  就回下來了
[00:14:52.800 --> 00:14:54.100]  看一下剛才那個德宏
[00:14:54.100 --> 00:14:55.700]  那個K線圖
[00:14:55.700 --> 00:14:56.800]  我們可以來看一下
[00:14:56.800 --> 00:14:59.600]  為什麼鎮彈會這麼激烈
[00:14:59.600 --> 00:15:00.200]  很簡單
[00:15:00.200 --> 00:15:01.600]  你看昨天過高對不對
[00:15:01.600 --> 00:15:01.900]  對
[00:15:01.900 --> 00:15:03.900]  這邊短線是加速網上走
[00:15:03.900 --> 00:15:04.900]  然後又是什麼
[00:15:04.900 --> 00:15:06.500]  剛放出來
[00:15:06.500 --> 00:15:07.700]  所以剛放出來
[00:15:07.700 --> 00:15:09.000]  所以這個就可以解釋
[00:15:09.000 --> 00:15:10.600]  為什麼今天鎮彈這麼激烈
[00:15:10.600 --> 00:15:11.400]  記憶體
[00:15:11.400 --> 00:15:12.400]  你後到底還有沒有力量
[00:15:12.400 --> 00:15:12.900]  好
[00:15:12.900 --> 00:15:14.300]  記憶體年後到底有沒有力
[00:15:14.300 --> 00:15:15.000]  我先講
[00:15:15.000 --> 00:15:16.400]  我認為有
[00:15:16.400 --> 00:15:17.500]  但是年前
[00:15:17.500 --> 00:15:18.800]  你要忍耐
[00:15:18.800 --> 00:15:19.800]  原因在哪裡
[00:15:19.800 --> 00:15:20.800]  第一個
[00:15:20.800 --> 00:15:22.300]  美光跟新地
[00:15:22.300 --> 00:15:24.300]  他們真的是長多開始拉
[00:15:24.300 --> 00:15:25.200]  我看一下美光
[00:15:25.200 --> 00:15:26.800]  請導播上美光跟新地
[00:15:26.800 --> 00:15:28.100]  我們看一下股仗
[00:15:28.100 --> 00:15:28.800]  有沒有
[00:15:28.800 --> 00:15:30.600]  人家也跌到越線
[00:15:30.600 --> 00:15:31.500]  這是美光
[00:15:31.500 --> 00:15:32.500]  Sandy is可能
[00:15:32.500 --> 00:15:33.000]  你看
[00:15:33.000 --> 00:15:34.600]  新地比較強
[00:15:34.600 --> 00:15:36.000]  實際線而已
[00:15:36.000 --> 00:15:37.800]  但是共同的特點
[00:15:37.800 --> 00:15:38.200]  都是什麼
[00:15:38.200 --> 00:15:38.600]  拉回
[00:15:38.600 --> 00:15:39.600]  拉回
[00:15:39.600 --> 00:15:39.800]  對不對
[00:15:39.800 --> 00:15:40.600]  好
[00:15:40.600 --> 00:15:41.700]  所以我們還要自卡
[00:15:41.700 --> 00:15:43.400]  這兩個指標都拉回
[00:15:43.400 --> 00:15:44.800]  我說
[00:15:44.800 --> 00:15:45.800]  現在市場上
[00:15:45.800 --> 00:15:48.600]  有誰不知道說缺貨非常嚴重
[00:15:48.600 --> 00:15:49.800]  所以短線變成是什麼
[00:15:49.800 --> 00:15:51.300]  是籌碼站
[00:15:51.300 --> 00:15:53.000]  就是說基本面沒問題
[00:15:53.000 --> 00:15:55.100]  你就是籌碼跟技術面
[00:15:55.100 --> 00:15:56.600]  短線的買賣力道
[00:15:56.600 --> 00:15:57.500]  所以
[00:15:57.500 --> 00:15:58.900]  你要買記憶體的
[00:15:58.900 --> 00:15:59.600]  要報記體
[00:15:59.600 --> 00:16:01.400]  你就緊盯每天現貨的報價
[00:16:01.400 --> 00:16:02.300]  目前基本面
[00:16:02.300 --> 00:16:04.400]  我認為是沒有疑慮
[00:16:04.400 --> 00:16:05.700]  那大部分的各股
[00:16:05.700 --> 00:16:06.100]  因為你看
[00:16:06.100 --> 00:16:07.400]  美光也回到越線的
[00:16:07.400 --> 00:16:09.600]  所以你先看越線附近的震盪
[00:16:09.600 --> 00:16:10.400]  我認為
[00:16:10.400 --> 00:16:12.100]  年後才有往上
[00:16:12.100 --> 00:16:13.100]  要過高的機會
[00:16:13.100 --> 00:16:14.100]  越線很重要
[00:16:14.100 --> 00:16:15.000]  有的已經跌破了
[00:16:15.000 --> 00:16:15.900]  遊戲在還守住
[00:16:15.900 --> 00:16:17.100]  等一下來檢視各股
[00:16:17.100 --> 00:16:18.000]  來地軌衛星
[00:16:18.000 --> 00:16:20.100]  地軌衛星也是長個段期發糟之後
[00:16:20.100 --> 00:16:21.500]  這兩天開始回檔了對不對
[00:16:21.500 --> 00:16:22.000]  尤其是什麼
[00:16:22.000 --> 00:16:24.100]  我們看一下第二二八五的奇蹟
[00:16:24.100 --> 00:16:25.400]  先看一下
[00:16:25.400 --> 00:16:26.600]  你看奇蹟的走勢
[00:16:26.600 --> 00:16:28.500]  它就很有沒有
[00:16:28.500 --> 00:16:30.000]  短線噴出以後
[00:16:30.000 --> 00:16:31.800]  連跌幾乎兩根
[00:16:31.800 --> 00:16:33.600]  今天盤中一度也是跌停好
[00:16:33.600 --> 00:16:35.300]  所以我們回到自卡來講
[00:16:35.300 --> 00:16:37.000]  這邊他們在反應什麼
[00:16:37.000 --> 00:16:39.400]  反應這個SpaceX要啟動IPO
[00:16:39.400 --> 00:16:41.400]  然後申請發射一百萬顆衛星
[00:16:41.400 --> 00:16:42.000]  這是力多
[00:16:42.000 --> 00:16:43.000]  對 這力多
[00:16:43.000 --> 00:16:45.200]  我說第一軌衛星是不確定的
[00:16:45.200 --> 00:16:47.800]  但是短線這些股價都噴出
[00:16:47.800 --> 00:16:49.700]  你噴出以後
[00:16:49.700 --> 00:16:51.700]  加上其他這些掌握的記憶體
[00:16:51.700 --> 00:16:52.900]  回來不會跟著回來嗎
[00:16:52.900 --> 00:16:53.800]  會
[00:16:53.800 --> 00:16:55.800]  甚至連A/BF一樣
[00:16:55.800 --> 00:16:58.200]  A/BF最近是在長今年開始
[00:16:58.200 --> 00:16:59.400]  尤其是明年之後
[00:16:59.400 --> 00:17:00.700]  工需會吃緊
[00:17:00.700 --> 00:17:01.900]  可是股價
[00:17:01.900 --> 00:17:04.200]  如果你去看它的獲利預估
[00:17:04.200 --> 00:17:06.700]  已經用明年的獲利在品質
[00:17:06.700 --> 00:17:07.700]  所以三件事情
[00:17:07.700 --> 00:17:08.600]  都一樣
[00:17:08.600 --> 00:17:10.200]  就是題材沒有變
[00:17:10.200 --> 00:17:11.400]  股價長多了
[00:17:11.400 --> 00:17:12.100]  做個小結論
[00:17:12.100 --> 00:17:13.300]  所以結論就什麼
[00:17:13.300 --> 00:17:14.800]  長多股最大的問題
[00:17:14.800 --> 00:17:15.500]  不是基本面
[00:17:15.500 --> 00:17:17.100]  因為這些基本面
[00:17:17.100 --> 00:17:18.500]  不會因為一天的大跌
[00:17:18.500 --> 00:17:19.600]  通通改變
[00:17:19.600 --> 00:17:21.700]  是賺錢的人在幹嘛
[00:17:21.700 --> 00:17:22.600]  獲利了解
[00:17:22.600 --> 00:17:23.600]  你有沒有賺錢
[00:17:23.600 --> 00:17:24.700]  你該不該獲利了解
[00:17:24.700 --> 00:17:25.500]  你沒有賺的話
[00:17:25.500 --> 00:17:26.500]  你要不要再等下去
[00:17:26.500 --> 00:17:27.000]  來各股
[00:17:27.000 --> 00:17:28.200]  我們一個來檢視一下
[00:17:28.200 --> 00:17:29.800]  我們先檢查這個記憶體
[00:17:29.800 --> 00:17:31.300]  就請導播移序上
[00:17:31.300 --> 00:17:32.800]  這些股票可以限度
[00:17:32.800 --> 00:17:34.000]  我們直接來看南亞科
[00:17:34.000 --> 00:17:34.600]  有沒有
[00:17:34.600 --> 00:17:36.100]  美光也是越線
[00:17:36.100 --> 00:17:36.800]  他也是越線
[00:17:36.800 --> 00:17:37.800]  所以他比較多
[00:17:37.800 --> 00:17:39.400]  沒有差不多
[00:17:39.400 --> 00:17:41.500]  所以打到越強勢股
[00:17:41.500 --> 00:17:42.500]  打到越線正常
[00:17:42.500 --> 00:17:43.400]  就準備要買了
[00:17:43.400 --> 00:17:45.500]  所以這邊我判斷什麼
[00:17:45.500 --> 00:17:46.900]  封關錢是這樣
[00:17:46.900 --> 00:17:48.100]  然後封關完以後
[00:17:48.100 --> 00:17:49.400]  開始往上反差
[00:17:49.400 --> 00:17:50.300]  我們就假設
[00:17:50.300 --> 00:17:52.600]  破亂這真的是高點好了
[00:17:52.600 --> 00:17:54.300]  你也是要上來再做一個逃步
[00:17:54.300 --> 00:17:55.800]  那我要在越線之上
[00:17:55.800 --> 00:17:56.800]  還是等他
[00:17:56.800 --> 00:17:58.300]  剛正上越線的時候買
[00:17:58.300 --> 00:17:59.300]  我會這樣建議
[00:17:59.300 --> 00:18:01.100]  如果你上面有賣的
[00:18:01.100 --> 00:18:02.100]  或是你是空手
[00:18:02.100 --> 00:18:03.100]  你可以等封關
[00:18:03.100 --> 00:18:05.100]  那封關那天來買
[00:18:05.100 --> 00:18:05.400]  對不對
[00:18:05.400 --> 00:18:06.300]  來華邦店
[00:18:06.300 --> 00:18:07.100]  好 華邦店
[00:18:07.100 --> 00:18:08.600]  你問華邦店更弱
[00:18:08.600 --> 00:18:09.600]  所以華邦店
[00:18:09.600 --> 00:18:10.600]  我會建議什麼
[00:18:10.600 --> 00:18:11.600]  開紅盤回來再買
[00:18:11.600 --> 00:18:12.200]  OK
[00:18:12.200 --> 00:18:13.600]  開紅盤回來再買
[00:18:13.600 --> 00:18:15.300]  好 來 下一檔 萬紅
[00:18:15.300 --> 00:18:16.800]  萬紅比較強
[00:18:16.800 --> 00:18:18.300]  所以正常來看也是一樣
[00:18:18.300 --> 00:18:19.600]  這兩天如果要反共
[00:18:19.600 --> 00:18:21.100]  搞不好先長他
[00:18:21.100 --> 00:18:21.600]  OK
[00:18:21.600 --> 00:18:23.600]  那這個東西 你看
[00:18:23.600 --> 00:18:25.100]  這個量跟這個量比起來
[00:18:25.100 --> 00:18:28.100]  其實目前籌碼沒有那麼亂
[00:18:28.100 --> 00:18:30.100]  所以萬紅他才會相對強
[00:18:30.100 --> 00:18:31.600]  今天最強是立即店
[00:18:31.600 --> 00:18:32.600]  立即盤中就在紅
[00:18:32.600 --> 00:18:33.100]  因為你看
[00:18:33.100 --> 00:18:34.100]  立即店就手來這裡
[00:18:34.100 --> 00:18:35.400]  那立即店更簡單
[00:18:35.400 --> 00:18:37.100]  你就抓60塊
[00:18:37.100 --> 00:18:38.400]  60塊沒跌破
[00:18:38.400 --> 00:18:39.600]  你就做多
[00:18:39.600 --> 00:18:40.600]  跌破你就出場
[00:18:40.600 --> 00:18:43.900]  你看以目前的量跟前面的相比
[00:18:43.900 --> 00:18:45.600]  這籌碼也還OK
[00:18:45.600 --> 00:18:47.600]  所以低價的反而比較OK
[00:18:47.600 --> 00:18:49.100]  全年是跌破越線
[00:18:49.100 --> 00:18:50.600]  所以我會建議什麼
[00:18:50.600 --> 00:18:51.800]  高價的群聯
[00:18:51.800 --> 00:18:53.000]  因為今天量有出來
[00:18:53.000 --> 00:18:54.400]  這短線有挺損的
[00:18:54.400 --> 00:18:56.100]  這兩天只要
[00:18:56.100 --> 00:18:57.700]  今天的低點收穩
[00:18:57.700 --> 00:18:58.900]  反而我認為
[00:18:58.900 --> 00:19:00.600]  封關那天你也可以考慮
[00:19:00.600 --> 00:19:01.600]  好 就是記憶體
[00:19:01.600 --> 00:19:02.500]  PCB了
[00:19:02.500 --> 00:19:03.800]  好 PCB的話
[00:19:03.800 --> 00:19:06.000]  我們先來看ABF這三檔
[00:19:06.000 --> 00:19:07.800]  這三檔除了警術
[00:19:07.800 --> 00:19:10.200]  是外資跟投運的
[00:19:10.200 --> 00:19:12.100]  南電是因為被關
[00:19:12.100 --> 00:19:14.000]  被關你等他放出來再說
[00:19:14.000 --> 00:19:16.100]  現在短線就不進來彈魂水
[00:19:16.100 --> 00:19:17.100]  趨勢沒有變
[00:19:17.100 --> 00:19:18.100]  那新興呢
[00:19:18.100 --> 00:19:19.200]  彈魂會回到越線
[00:19:19.200 --> 00:19:22.100]  所以你等打回來越線再說
[00:19:22.100 --> 00:19:23.400]  等打回來越線再說
[00:19:23.400 --> 00:19:24.200]  警術呢
[00:19:24.200 --> 00:19:25.900]  警術的話一樣嘛
[00:19:25.900 --> 00:19:27.900]  今天到時間還要有監量沒有
[00:19:27.900 --> 00:19:29.100]  監量沒有出來嘛
[00:19:29.100 --> 00:19:32.200]  你就觀察下禮拜前兩天
[00:19:32.200 --> 00:19:34.500]  如果十日線可以收穩的話
[00:19:34.500 --> 00:19:35.400]  短線再進場
[00:19:35.400 --> 00:19:38.500]  不然以上這幾組我會認為
[00:19:38.500 --> 00:19:40.200]  這幾天就讓他去震盪
[00:19:40.200 --> 00:19:42.500]  我們等紅旁回來之後再進場
[00:19:42.500 --> 00:19:44.800]  好 所以引進自動來滑通呢
[00:19:44.800 --> 00:19:46.500]  好 第一軌衛星
[00:19:46.500 --> 00:19:48.000]  看滑通跟生長
[00:19:48.000 --> 00:19:49.300]  你看滑通也很強嗎
[00:19:49.300 --> 00:19:50.200]  但是因為滑通
[00:19:50.200 --> 00:19:51.500]  今天有守住這個低點
[00:19:51.500 --> 00:19:52.300]  所以呢
[00:19:52.300 --> 00:19:54.800]  你就是抓最近大概今天的低點
[00:19:54.800 --> 00:19:55.800]  我們看一下今天低點
[00:19:55.800 --> 00:19:56.300]  大概一六星
[00:19:56.300 --> 00:19:57.800]  你就抓一百六十五塊
[00:19:57.800 --> 00:19:58.800]  一百六十五塊
[00:19:58.800 --> 00:19:59.800]  當作短線的停損
[00:19:59.800 --> 00:20:01.300]  沒跌破你去報
[00:20:01.300 --> 00:20:03.000]  不然就什麼接近那裡
[00:20:03.000 --> 00:20:03.900]  你再搶短
[00:20:03.900 --> 00:20:04.500]  就可以了
[00:20:04.500 --> 00:20:05.000]  最後來
[00:20:05.000 --> 00:20:06.600]  一馬當心的聲打殼
[00:20:06.600 --> 00:20:07.500]  今天拉回
[00:20:07.500 --> 00:20:09.000]  但是所有軍線都站得很穩
[00:20:09.000 --> 00:20:10.000]  這個先不要碰
[00:20:10.000 --> 00:20:11.400]  因為他現在被關起來
[00:20:11.400 --> 00:20:13.700]  這個放出來那天還會大震盪
[00:20:13.700 --> 00:20:16.100]  你等他放出來再進場就好
[00:20:16.100 --> 00:20:16.900]  非常清楚
[00:20:16.900 --> 00:20:18.900]  謝謝郭家老師 請先回座了
[00:20:18.900 --> 00:20:20.000]  休息下來談談
[00:20:20.000 --> 00:20:21.000]  開紅盤之後
[00:20:21.000 --> 00:20:21.900]  會長什麼樣子
[00:20:21.900 --> 00:20:23.200]  您還告訴你
[00:20:23.200 --> 00:20:24.200]  其實我大概整理了
[00:20:24.200 --> 00:20:25.200]  這一個禮拜以來
[00:20:25.200 --> 00:20:26.400]  前線專家的提醒
[00:20:26.400 --> 00:20:27.600]  就是我每個人都問
[00:20:27.600 --> 00:20:28.200]  到底過年
[00:20:28.200 --> 00:20:29.700]  該不該報告過年
[00:20:29.700 --> 00:20:30.700]  大家都建議
[00:20:30.700 --> 00:20:32.300]  因為變數很大時間很長
[00:20:32.300 --> 00:20:33.900]  所以最好先減碼
[00:20:33.900 --> 00:20:36.200]  但是賣股票哪有這麼簡單
[00:20:36.200 --> 00:20:37.200]  賺錢的人
[00:20:37.200 --> 00:20:38.600]  他是捨不得賣
[00:20:38.600 --> 00:20:39.600]  小賺的人
[00:20:39.600 --> 00:20:40.900]  我不甘心賣
[00:20:40.900 --> 00:20:42.000]  賠錢的人
[00:20:42.000 --> 00:20:43.500]  我怎麼忍得下心賣呢
[00:20:43.500 --> 00:20:44.600]  所以現在我們到底
[00:20:44.600 --> 00:20:45.400]  該怎麼樣度過
[00:20:45.400 --> 00:20:47.400]  再接下來是多天
[00:20:47.400 --> 00:20:48.900]  在台股休年假的時候
[00:20:48.900 --> 00:20:50.100]  直接看數據
[00:20:50.100 --> 00:20:51.400]  因為每個人都很害怕
[00:20:51.400 --> 00:20:53.000]  說年錢感覺很恐怖
[00:20:53.000 --> 00:20:55.200]  在中間不確定數怎樣
[00:20:55.200 --> 00:20:56.800]  然後我看這個圖你就知道
[00:20:56.800 --> 00:20:59.900]  這是近十年新春開紅盤
[00:20:59.900 --> 00:21:01.200]  台股的一個走勢圖
[00:21:01.200 --> 00:21:03.000]  到底是會跌還是會長
[00:21:03.000 --> 00:21:04.000]  只能看到大部分
[00:21:04.000 --> 00:21:05.200]  你看到都是藍色走勢
[00:21:05.200 --> 00:21:05.800]  這當天嗎
[00:21:05.800 --> 00:21:07.300]  對 就是開紅盤當天
[00:21:07.300 --> 00:21:08.800]  幾乎大部分都往上長
[00:21:08.800 --> 00:21:10.100]  為什麼大家都很怕
[00:21:10.100 --> 00:21:11.200]  第一個不確定數
[00:21:11.200 --> 00:21:13.400]  而且會印象有以前曾經
[00:21:13.400 --> 00:21:15.400]  一開盤不要跑全部
[00:21:15.400 --> 00:21:17.400]  全部直接殺下去的有沒有有
[00:21:17.400 --> 00:21:19.400]  就是當時疫情
[00:21:19.400 --> 00:21:21.400]  一開盤子數就跌了6%
[00:21:21.400 --> 00:21:22.400]  另外就是去年
[00:21:22.400 --> 00:21:23.400]  大家應該都還有印象
[00:21:23.400 --> 00:21:25.400]  Dipsick那個瞬間
[00:21:25.400 --> 00:21:27.400]  然後一開盤不要跑
[00:21:27.400 --> 00:21:29.400]  全部子數在跌了3%多
[00:21:29.400 --> 00:21:30.400]  然後這個就是一個人性
[00:21:30.400 --> 00:21:33.400]  中間有賺錢其實你都不太記得
[00:21:33.400 --> 00:21:35.400]  但是中間困在裡面的印象很深刻
[00:21:35.400 --> 00:21:37.400]  所以每個時間點來到這個
[00:21:37.400 --> 00:21:38.400]  年錢大家就會有點害怕
[00:21:38.400 --> 00:21:40.400]  我覺得是人自傷心
[00:21:40.400 --> 00:21:41.400]  但事實上就告訴你
[00:21:41.400 --> 00:21:42.400]  真的還是長比較多
[00:21:42.400 --> 00:21:45.400]  我們也不要說一定會長或一定會跌
[00:21:45.400 --> 00:21:46.400]  結論就是你只要過年
[00:21:46.400 --> 00:21:48.400]  沒有出現很誇張黑天而事件
[00:21:48.400 --> 00:21:50.400]  回來幾乎都是長的
[00:21:50.400 --> 00:21:51.400]  這就是結論
[00:21:51.400 --> 00:21:53.400]  所以大家可能又有點印象
[00:21:53.400 --> 00:21:55.400]  當然疫情當時的拖勒
[00:21:55.400 --> 00:21:57.400]  大概接近兩、三個月的時間
[00:21:57.400 --> 00:22:00.400]  Dipsick看不到一個月的時間
[00:22:00.400 --> 00:22:01.400]  就過去了
[00:22:01.400 --> 00:22:03.400]  所以結論就是黑天而重點
[00:22:03.400 --> 00:22:04.400]  我們剛剛前段提到
[00:22:04.400 --> 00:22:06.400]  每一次黑天而包含這種政治事件
[00:22:06.400 --> 00:22:07.400]  我常常講
[00:22:07.400 --> 00:22:08.400]  記得一件事情
[00:22:08.400 --> 00:22:09.400]  想一下台積電訂貪
[00:22:09.400 --> 00:22:11.400]  會不會受到影響
[00:22:11.400 --> 00:22:13.400]  如果不會就是知道其實
[00:22:13.400 --> 00:22:14.400]  就回過頭來是一個買一點
[00:22:14.400 --> 00:22:16.400]  這個架構是不會改變
[00:22:16.400 --> 00:22:19.400]  那如果說這個是當天的狀況
[00:22:19.400 --> 00:22:20.400]  就是開紅盤
[00:22:20.400 --> 00:22:21.400]  那開紅盤是來這個地方
[00:22:21.400 --> 00:22:23.400]  你可以看到這個指數
[00:22:23.400 --> 00:22:24.400]  也是十年後
[00:22:24.400 --> 00:22:26.400]  農曆年後的這個表現的一個狀況
[00:22:26.400 --> 00:22:28.400]  那可以看到確實是平均質
[00:22:28.400 --> 00:22:29.400]  這是長夫
[00:22:29.400 --> 00:22:30.400]  對 這是一個%
[00:22:30.400 --> 00:22:31.400]  兩個% 三個%
[00:22:31.400 --> 00:22:32.400]  你可以看到
[00:22:32.400 --> 00:22:34.400]  今年又是上在一週左右的時間平均
[00:22:34.400 --> 00:22:36.400]  都是一直往上守的
[00:22:36.400 --> 00:22:39.400]  那其實就是這個是十年的一個均質
[00:22:39.400 --> 00:22:41.400]  當然它這個包含在這個裡面
[00:22:41.400 --> 00:22:42.400]  所以不斷重生
[00:22:42.400 --> 00:22:43.400]  就這個架構來講
[00:22:43.400 --> 00:22:46.400]  每年大概就是七八成的機率會往上
[00:22:46.400 --> 00:22:47.400]  所以我們就有機率
[00:22:47.400 --> 00:22:49.400]  但是我們要重生
[00:22:49.400 --> 00:22:51.400]  過去機率不代表未來
[00:22:51.400 --> 00:22:52.400]  我們要先講清楚
[00:22:52.400 --> 00:22:54.400]  但是我們只是先有這個概念
[00:22:54.400 --> 00:22:55.400]  就是告訴大家
[00:22:55.400 --> 00:22:57.400]  其實沒有想像中的可怕
[00:22:57.400 --> 00:22:58.400]  大致上先只有概念
[00:22:58.400 --> 00:23:00.400]  我們要繼續往下看
[00:23:00.400 --> 00:23:01.400]  現在告訴大家說
[00:23:01.400 --> 00:23:02.400]  為什麼那為什麼
[00:23:02.400 --> 00:23:04.400]  在感覺尤其是前幾個禮拜感覺
[00:23:04.400 --> 00:23:05.400]  還大家很樂觀
[00:23:05.400 --> 00:23:07.400]  到這個禮拜感覺壓力很大
[00:23:07.400 --> 00:23:10.400]  對 大概時間畢竟是一個關係
[00:23:10.400 --> 00:23:11.400]  重點是國際股市
[00:23:11.400 --> 00:23:12.400]  跟我們很大的壓力
[00:23:12.400 --> 00:23:13.400]  真的是不真的是
[00:23:13.400 --> 00:23:15.400]  我只要告訴大家反正
[00:23:15.400 --> 00:23:18.400]  重點就是真的是因為長多了
[00:23:18.400 --> 00:23:19.400]  真的就是因為短線長多
[00:23:19.400 --> 00:23:21.400]  你看一下這家圈子數
[00:23:21.400 --> 00:23:23.400]  就是近年來一月的一個表現
[00:23:23.400 --> 00:23:26.400]  這是今年一月長10個月
[00:23:26.400 --> 00:23:27.400]  只要記得
[00:23:27.400 --> 00:23:28.400]  曾經長過八個月
[00:23:28.400 --> 00:23:29.400]  不是在發生什麼事情
[00:23:29.400 --> 00:23:31.400]  2022年跌了一整年
[00:23:31.400 --> 00:23:34.400]  接近10個月才開始往上盤
[00:23:34.400 --> 00:23:35.400]  所以一月特別強
[00:23:35.400 --> 00:23:36.400]  結果這一次不一樣
[00:23:36.400 --> 00:23:38.400]  那人家是跌了快一年
[00:23:38.400 --> 00:23:39.400]  這一次是在12月
[00:23:39.400 --> 00:23:41.400]  對12月還在歷史新高
[00:23:41.400 --> 00:23:43.400]  居然還能夠長一層
[00:23:43.400 --> 00:23:44.400]  那不可思議
[00:23:44.400 --> 00:23:46.400]  所以導致現在來講
